State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total,Rural_Households
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.60,228.44,82.12,30.60,341.16,211.35,50.94,23.12,285.41,8800,0,8800,26,240,182,0,0,8410,1129,9539,23,240,182,1,0,145.53,128.04,87.98,48.00,48.00,100,9.90,9.26,93.54,52.00,37.89,72.87,8800,0,8800,8410,0,8410,0,0,100.00,1129,0,0,0,0,0,0,9539,22412
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.40,7.24,71.37,43.78,4.98,120.13,49.22,23.41,4.34,76.97,2366,1200,3566,0,134,82,0,0,1513,1200,2713,0,134,82,0,0,50.92,40.47,79.48,28.66,20.74,72.37,4.50,4.86,100.00,0.00,0.00,0.00,2366,1200,3566,1513,0,1513,0,0,100.00,1200,0,0,0,0,0,0,2713,8626
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,362.98,250.78,83.68,28.52,226.68,92.04,16.16,334.88,170.11,90.70,16.16,276.96,5766,1164,6930,26,232,119,3,0,4516,1164,5680,19,232,119,3,0,189.29,147.60,77.98,46.40,46.40,100,5.96,5.26,88.26,52.00,36.70,70.58,5766,1164,6930,4516,0,4516,0,0,100.00,1164,0,0,0,0,0,0,5680,12066
ARUNACHAL PRADESH,10,PAPUM PARE,150.10,102.86,37.79,9.45,98.93,69.45,0.00,168.38,96.16,50.85,0.00,147.01,1268,3778,5046,17,140,113,8,0,267,3778,4045,3,140,113,0,0,44.04,5.34,12.13,28.00,58.92,100.00,5.66,15.80,100.00,34.00,3.60,10.59,1268,3778,5046,267,0,267,0,0,100.00,3778,0,3778,0,0,0,0,4045,13537
ARUNACHAL PRADESH,11,TAWANG,321.84,224.27,72.34,25.23,194.63,66.64,10.47,271.74,129.27,33.57,10.47,173.31,5478,1210,6688,21,156,91,4,0,4191,1210,5401,13,156,75,1,0,178.79,89.74,50.19,31.20,31.00,99.36,5.36,0.75,13.99,42.00,25.40,60.48,5478,1210,6688,4191,0,4191,0,0,100.00,1210,0,1210,0,0,0,0,5401,7891
ARUNACHAL PRADESH,12,TIRAP,403.07,280.89,95.66,26.52,243.67,74.48,17.42,335.57,269.15,60.88,17.42,347.45,5780,470,6250,25,304,150,6,0,5780,470,6250,18,304,150,0,0,196.44,213.99,100.00,60.80,65.40,100.00,7.50,9.96,100.00,50.00,31.66,63.32,5780,470,6250,5780,0,5780,0,0,100.00,470,0,0,0,0,0,0,6250,15458
ARUNACHAL PRADESH,13,UPPER SIANG,200.81,139.74,47.07,14.00,127.64,53.12,15.07,195.83,117.54,52.11,14.61,184.26,2634,964,3598,15,154,50,4,0,2326,964,3290,14,154,50,0,0,94.52,104.42,100.00,30.80,30.90,100.00,2.50,1.16,46.40,30.00,26.00,86.67,2634,964,3598,2326,0,2326,0,0,100.00,964,0,964,0,0,0,0,3290,5652
ARUNACHAL PRADESH,14,UPPER SUBANSIRI,467.27,323.21,108.07,35.99,298.30,121.83,0.00,420.13,448.99,47.84,0.00,496.84,9045,461,9506,25,154,221,3,0,5872,461,6333,5,156,178,0,0,268.99,255.83,95.11,30.80,136.80,100.00,21.32,8.20,38.46,50.00,3.60,7.20,9045,461,9506,5872,0,5872,0,0,100.00,461,0,0,0,0,0,0,6333,12952
ARUNACHAL PRADESH,15,WEST KAMENG,387.30,269.67,91.67,25.96,251.78,89.89,12.14,353.81,174.11,48.82,12.14,235.07,5644,252,5896,25,306,111,4,0,3744,252,3996,22,306,111,0,0,185.94,95.07,51.13,61.20,61.20,100,5.56,5.55,99.82,50.00,31.20,62.40,5644,252,5896,3744,0,3744,0,0,100.00,252,0,0,0,0,0,0,3996,12542
ARUNACHAL PRADESH,16,WEST SIANG,625.32,432.02,144.22,49.08,326.09,116.73,12.86,455.68,280.29,94.39,12.74,387.42,11472,0,11472,25,378,2,0,0,6925,26,6951,5,378,20,0,0,373.63,212.12,56.77,75.60,106.29,100.00,0.10,4.24,100.00,50.00,2.03,4.06,11472,0,11472,6925,0,6925,0,0,100.00,26,0,26,0,0,0,0,6951,15387
ASSAM,1,BAGSHA,3930.13,2769.19,865.85,295.09,2564.67,484.00,208.00,3256.67,2607.37,479.28,208.00,3294.66,85697,63785,149482,15,1789,69,3,0,73500,21780,95280,15,1789,69,3,0,2954.87,2625.23,88.84,376.30,478.60,100.00,3.46,4.83,100.00,30.00,23.20,77.33,85697,63785,149482,73500,13690,31050,28630,130,60.87,21780,0,0,0,0,0,0,95280,188191
ASSAM,2,BARPETA,6162.60,4361.74,1348.62,452.24,3876.98,661.11,259.82,4797.91,3263.23,643.38,259.82,4166.43,150747,93069,243816,0,1806,175,10,0,103579,33545,137124,0,2038,175,0,0,5293.17,3514.47,66.40,361.20,384.71,100.00,8.76,14.07,100.00,0.00,0.00,0.00,150747,93069,243816,103579,3899,1483,98197,0,5.20,33545,0,0,0,0,0,0,137124,306688
ASSAM,3,BONGAIGAON,2773.12,1950.68,635.65,186.79,1097.58,314.11,15.44,1427.13,121.11,292.44,15.44,428.99,51929,39654,91583,15,1222,59,3,0,5245,8881,14126,0,1252,59,0,0,2040.49,139.58,6.84,302.12,244.19,80.83,2.96,4.13,100.00,30.00,0.00,0.00,51929,39654,91583,5245,42,27,5176,0,1.32,8881,6,17,0,0,0,0,14126,124874
ASSAM,4,CACHAR,4741.34,3346.64,1045.87,348.83,3015.78,578.47,302.28,3896.53,2298.95,578.47,275.79,3153.21,119931,46293,166224,0,1839,1697,0,0,102306,20870,123176,1,1873,985,2,92,3760.31,2589.36,68.86,367.57,351.80,95.71,126.76,58.34,46.02,0.00,0.37,0.00,119931,46293,166224,102306,11371,1460,89475,0,12.54,20870,0,0,0,0,0,0,123176,299194
