State_Name,District_Name,Center_Release_of_funds,State_Release_of_funds,Beneficiary_Release_of_funds,Total_Release_of_funds,Center_Expenditure_Reported,State_Expenditure_Reported,Beneficiary_Expenditure_Reported,Total_Expenditure_Reported
UTTAR PRADESH,BASTI,2963.15,1325.24,358.92,4647.31,2588.67,1177.79,358.88,4125.34
UTTAR PRADESH,BIJNOR,2210.29,1775.69,376.12,4362.09,2260.18,904.53,359.58,3524.29
UTTAR PRADESH,BUDAUN,1773.13,2301.62,469.40,4544.14,1896.59,1616.91,435.24,3948.73
UTTAR PRADESH,BULANDSHAHR,1225.68,733.96,159.18,2118.82,1212.48,733.94,126.87,2073.29
UTTAR PRADESH,CHANDAULI,1283.93,1083.37,858.23,3225.53,1194.78,918.96,328.68,2442.42
UTTAR PRADESH,CHITRAKOOT,643.05,1101.06,94.99,1839.10,682.97,665.77,85.89,1434.62
UTTAR PRADESH,DEORIA,3743.95,2009.29,1199.15,6952.39,3109.69,1934.83,954.16,5998.68
UTTAR PRADESH,ETAH,1294.92,919.55,1428.60,3643.07,1369.26,919.54,455.30,2744.10
UTTAR PRADESH,ETAWAH,2062.11,1169.00,360.94,3592.05,1860.80,1169.00,350.74,3380.54
UTTAR PRADESH,FAIZABAD,1556.00,1603.22,511.22,3670.44,1578.60,1510.44,342.77,3431.81
UTTAR PRADESH,FARRUKHABAD,2640.04,2072.97,346.03,5059.04,2634.21,1559.74,309.64,4503.59
UTTAR PRADESH,FATEHPUR,2067.44,1237.70,296.43,3601.57,1747.25,1237.68,293.67,3278.60
UTTAR PRADESH,FIROZABAD,787.39,333.36,66.28,1187.03,773.51,309.95,65.36,1148.82
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,549.76,224.55,53.68,827.99,465.16,224.84,54.36,744.36
UTTAR PRADESH,GHAZIABAD,862.48,255.64,45.75,1163.87,693.13,218.53,44.82,956.48
UTTAR PRADESH,GHAZIPUR,2909.87,2295.30,379.84,5585.00,2939.89,2133.73,378.58,5452.19
UTTAR PRADESH,GONDA,2765.13,1301.63,350.45,4417.22,2237.75,1300.96,350.45,3889.16
UTTAR PRADESH,GORAKHPUR,4069.00,2929.09,1595.00,8593.09,3847.98,2599.95,504.50,6952.43
UTTAR PRADESH,HAMIRPUR,1934.76,1655.13,649.21,4239.10,1433.87,1276.60,334.37,3044.84
UTTAR PRADESH,HARDOI,4669.86,4989.94,799.75,10459.55,4289.80,4834.49,798.13,9922.43
UTTAR PRADESH,JALAUN,1718.76,2098.01,370.10,4186.87,1646.36,1124.95,317.72,3089.03
UTTAR PRADESH,JAUNPUR,5281.56,3868.94,898.61,10049.11,4698.48,3025.84,806.23,8530.55
UTTAR PRADESH,JHANSI,1339.02,960.45,282.68,2582.15,1376.56,866.36,276.18,2519.10
UTTAR PRADESH,JYOTIBA PHULE NAGAR,1320.53,902.79,224.78,2448.10,1369.03,882.31,171.73,2423.07
UTTAR PRADESH,KANNAUJ,2210.71,985.28,302.46,3498.45,2186.65,891.02,293.13,3370.80
UTTAR PRADESH,KANPUR DEHAT,2215.88,1952.06,699.72,4867.66,2226.31,1322.93,603.72,4152.96
UTTAR PRADESH,KANPUR NAGAR,2069.06,540.96,339.17,2949.19,1914.22,540.96,246.27,2701.45
UTTAR PRADESH,KANSHIRAM NAGAR,578.14,126.45,2.40,706.99,570.41,74.94,0.00,645.35
UTTAR PRADESH,KAUSHAMBI,2409.58,1480.78,1081.56,4971.92,2372.43,1440.29,549.74,4362.46
UTTAR PRADESH,KUSHINAGAR,6059.90,2446.69,783.08,9289.67,5905.62,2445.59,781.76,9132.97
UTTAR PRADESH,LAKHIMPUR KHERI,2836.30,2098.12,281.42,5215.84,2337.89,2098.12,281.42,4717.43
UTTAR PRADESH,LALITPUR,1590.11,1115.55,240.31,2945.96,1325.43,909.09,240.31,2474.82
UTTAR PRADESH,LUCKNOW,2375.93,1777.33,148.03,4301.29,1917.48,1478.27,142.10,3537.85
UTTAR PRADESH,MAHAMAYA NAGAR(HATHRAS),952.81,505.89,135.07,1593.77,898.91,505.89,134.80,1539.60
UTTAR PRADESH,MAHARAJGANJ,2675.67,2294.74,617.12,5587.53,3098.71,1831.08,593.24,5523.03
UTTAR PRADESH,MAHOBA,1134.37,871.03,217.51,2222.91,928.25,675.17,202.00,1805.42
UTTAR PRADESH,MAINPURI,1792.34,2807.56,572.25,5172.14,1773.82,2441.83,226.20,4441.85
UTTAR PRADESH,MATHURA,1115.31,333.18,370.04,1818.53,944.34,333.16,108.29,1385.79
UTTAR PRADESH,MAU,2444.28,900.17,382.72,3727.17,2130.91,717.94,381.96,3230.81
UTTAR PRADESH,MEERUT,928.58,1322.98,122.86,2374.42,933.73,503.38,121.74,1558.86
UTTAR PRADESH,MIRZAPUR,3760.79,3435.51,866.02,8062.32,3067.09,3305.91,843.79,7216.79
UTTAR PRADESH,MORADABAD,3287.48,1649.13,302.55,5239.16,2692.82,1592.74,230.06,4515.62
UTTAR PRADESH,MUZAFFARNAGAR,1289.63,824.59,235.19,2349.41,1098.51,824.59,226.43,2149.54
UTTAR PRADESH,PILIBHIT,1833.49,785.33,596.82,3215.63,1735.06,698.76,580.05,3013.87
UTTAR PRADESH,PRATAPGARH,2263.51,2291.33,726.92,5281.76,2420.02,1917.44,598.69,4936.15
UTTAR PRADESH,RAE BARELI,4527.50,2338.50,432.71,7298.71,4527.50,2338.23,370.02,7235.75
UTTAR PRADESH,RAMPUR,1947.06,905.40,90.11,2942.57,1236.11,870.50,61.48,2168.09
UTTAR PRADESH,SAHARANPUR,1505.60,1045.24,269.80,2820.64,1495.83,1045.24,248.21,2789.28
UTTAR PRADESH,SANT KABIR NAGAR,2532.48,1060.38,1066.64,4659.50,2276.74,964.03,291.55,3532.31
UTTAR PRADESH,SANT RAVIDAS NAGAR( BHADOHI),1641.55,969.99,481.99,3093.53,1224.47,966.47,472.39,2663.32
UTTAR PRADESH,SHAHJAHANPUR,3795.29,1402.41,477.52,5675.22,3508.58,1240.86,255.50,5004.94
UTTAR PRADESH,SHRAVASTI,1761.18,1271.14,319.51,3351.83,1772.03,1271.14,319.23,3362.40
UTTAR PRADESH,SIDDHARTHNAGAR,2869.81,1896.16,1318.30,6084.27,2608.86,1832.06,532.41,4973.33
UTTAR PRADESH,SITAPUR,6798.15,3264.76,539.04,10601.95,6411.88,3167.26,502.83,10081.97
UTTAR PRADESH,SONBHADRA,2636.09,3015.11,756.38,6407.58,2483.62,2419.66,491.35,5394.64
UTTAR PRADESH,SULTANPUR,2863.48,2643.49,583.14,6090.11,2806.58,2391.57,580.09,5778.24
UTTAR PRADESH,UNNAO,4351.26,3019.07,1153.87,8524.20,4159.83,2814.73,1149.47,8124.03
UTTAR PRADESH,VARANASI,2775.15,1678.84,293.13,4747.12,2498.17,1025.14,290.84,3814.16
WEST BENGAL,BANKURA,4253.42,1359.72,3380.12,8993.26,2736.62,1065.38,3349.17,7151.17
WEST BENGAL,BARDHAMAN,6761.46,2344.69,2694.73,11800.88,5596.20,1989.90,2694.73,10280.83
WEST BENGAL,BIRBHUM,4613.90,1433.20,3037.25,9084.35,3864.47,1380.74,3034.57,8279.79
WEST BENGAL,COOCH BEHAR,3201.45,1020.29,294.51,4516.25,2703.10,847.11,294.44,3844.65
WEST BENGAL,DAKSHIN DINAJPUR,2949.83,856.73,413.20,4219.76,1945.20,669.07,311.20,2925.47
WEST BENGAL,DARJEELING,1292.37,367.85,131.71,1791.93,1088.47,367.85,131.71,1588.03
WEST BENGAL,HOOGHLY,3189.78,1072.72,2666.68,6929.18,3096.89,1072.55,2666.67,6836.11
WEST BENGAL,HOWRAH,1758.80,697.63,480.75,2937.18,1570.92,604.86,480.75,2656.52
WEST BENGAL,JALPAIGURI,5974.46,1697.14,959.03,8630.63,4542.67,1268.85,950.05,6761.56
WEST BENGAL,MALDA,5684.29,1771.20,1080.35,8535.84,4604.60,1689.42,1040.81,7334.82
WEST BENGAL,MIDNAPUR EAST,3835.53,1240.69,575.68,5651.90,3008.46,1237.09,537.10,4782.65
WEST BENGAL,MIDNAPUR WEST,4738.28,1755.11,2620.17,9113.56,4078.81,1615.45,2620.17,8314.43
WEST BENGAL,MURSHIDABAD,8196.85,2593.75,2165.43,12956.03,4986.26,1776.52,2165.43,8928.22
WEST BENGAL,NADIA,3738.10,1186.43,1949.83,6874.36,3003.39,1059.88,1949.83,6013.10
WEST BENGAL,NORTH 24 PARAGANAS,5959.11,1913.50,2101.76,9974.37,5445.13,1900.45,2084.31,9429.89
WEST BENGAL,PURULIA,3847.07,1086.84,2436.99,7370.90,3400.14,1086.84,2436.99,6923.96
WEST BENGAL,SILIGURI,1084.64,319.87,372.75,1777.26,640.61,254.65,352.28,1247.53
WEST BENGAL,SOUTH 24 PARAGANAS,7081.61,2001.59,1882.40,10965.60,5379.23,1629.64,1854.19,8863.06
WEST BENGAL,UTTAR DINAJPUR,3095.78,833.80,5021.28,8950.86,1987.17,710.71,5021.28,7719.16
30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013,30-Jul-2013
