State_Name,District_Name,Center_Release_of_funds,State_Release_of_funds,Beneficiary_Release_of_funds,Total_Release_of_funds,Center_Expenditure_Reported,State_Expenditure_Reported,Beneficiary_Expenditure_Reported,Total_Expenditure_Reported
GUJARAT,AHMEDABAD,1080.25,805.45,627.57,2513.27,1137.67,550.71,488.25,2176.63
GUJARAT,AMRELI,1080.55,519.81,40.00,1640.36,1035.05,391.31,38.13,1464.49
GUJARAT,ANAND,980.87,781.09,31.75,1793.71,692.62,436.98,31.75,1161.34
GUJARAT,BANAS KANTHA,2303.43,1034.71,454.31,3792.45,2439.18,924.20,456.87,3820.25
GUJARAT,BHARUCH,1251.40,746.78,331.83,2330.01,1208.81,657.82,331.83,2198.46
GUJARAT,BHAVNAGAR,639.34,234.48,102.29,976.11,679.28,231.91,93.36,1004.55
GUJARAT,DAHOD,1971.51,710.94,283.75,2966.20,1686.00,584.62,275.47,2546.09
GUJARAT,DANGS,431.95,211.46,72.24,715.65,376.66,191.32,72.24,640.22
GUJARAT,GANDHINAGAR,358.41,108.85,24.54,491.80,269.05,91.94,24.32,385.31
GUJARAT,JAMNAGAR,1159.73,503.48,145.35,1808.56,1117.93,426.02,145.26,1689.21
GUJARAT,JUNAGADH,1191.17,345.89,151.83,1688.89,856.48,302.78,149.76,1309.02
GUJARAT,KACHCHH,890.20,333.06,108.51,1331.77,627.85,240.76,80.73,949.34
GUJARAT,KHEDA,2135.25,1100.37,36.27,3271.89,1927.73,899.74,36.12,2863.59
GUJARAT,MAHESANA,1158.74,320.68,127.37,1606.79,977.13,225.71,126.82,1329.66
GUJARAT,NARMADA,1053.60,466.48,245.50,1765.58,929.97,408.41,245.50,1583.88
GUJARAT,NAVSARI,1131.55,628.38,476.84,2236.77,964.33,531.73,242.96,1739.02
GUJARAT,PANCH MAHALS,2551.13,1100.09,4040.29,7691.51,2880.54,934.32,3594.28,7409.14
GUJARAT,PATAN,1207.17,399.79,216.07,1823.03,971.51,373.04,216.07,1560.62
GUJARAT,PORBANDAR,382.68,415.73,25.92,824.33,375.11,262.77,25.87,663.75
GUJARAT,RAJKOT,1691.13,546.67,289.61,2527.41,1356.39,484.87,237.77,2079.03
GUJARAT,SABAR KANTHA,2939.50,976.66,419.62,4335.78,2358.42,959.42,419.62,3737.46
GUJARAT,SURAT,2749.22,1021.80,523.87,4294.89,2558.17,1018.48,503.87,4080.52
GUJARAT,SURENDRANAGAR,1318.56,492.54,243.82,2054.92,1028.11,353.01,201.57,1582.69
GUJARAT,VADODARA,2178.17,813.30,201.66,3193.13,1868.26,813.46,202.64,2884.36
GUJARAT,VALSAD,967.94,459.52,167.51,1594.97,835.36,459.52,160.75,1455.63
HARYANA,AMBALA,914.99,355.80,160.37,1431.16,864.08,354.71,157.49,1376.29
HARYANA,BHIWANI,685.86,243.81,65.22,994.89,634.35,243.81,64.06,942.21
HARYANA,FARIDABAD,461.55,167.33,74.37,703.25,401.59,161.55,73.98,637.12
HARYANA,FATEHABAD,522.43,306.71,171.66,1000.80,516.49,263.15,171.66,951.30
HARYANA,GURGAON,301.38,167.65,380.96,849.99,303.42,126.13,79.28,508.83
HARYANA,HISAR,865.84,314.10,144.92,1324.86,934.20,317.94,144.52,1396.66
HARYANA,JHAJJAR,506.83,169.87,47.98,724.68,444.28,169.87,40.34,654.49
HARYANA,JIND,721.90,488.76,516.14,1726.80,791.61,384.97,272.83,1449.41
HARYANA,KAITHAL,640.03,333.85,583.11,1556.99,596.02,289.82,291.11,1176.95
HARYANA,KARNAL,599.45,295.68,263.38,1158.51,595.58,290.27,233.78,1119.64
HARYANA,KURUKSHETRA,561.12,272.33,186.54,1019.99,523.16,272.25,174.00,969.41
HARYANA,MAHENDRAGARH,367.95,141.25,126.60,635.80,371.19,135.37,92.16,598.72
HARYANA,MEWAT,502.96,195.01,112.47,810.45,470.82,172.59,101.70,745.11
HARYANA,PANCHKULA,224.16,82.14,34.22,340.52,214.46,76.76,34.12,325.35
HARYANA,PANIPAT,440.27,247.20,216.27,903.74,456.32,247.20,216.27,919.79
HARYANA,REWARI,588.56,201.91,116.39,906.86,538.65,200.29,109.72,848.66
HARYANA,ROHTAK,381.90,170.73,57.65,610.28,350.29,144.36,55.15,549.79
HARYANA,SIRSA,650.47,213.36,145.13,1008.96,638.46,209.91,145.13,993.49
HARYANA,SONIPAT,327.75,558.72,690.16,1576.63,353.24,150.61,91.55,595.40
HARYANA,YAMUNANAGAR,870.70,299.26,142.01,1311.97,800.53,292.77,136.34,1229.64
HIMACHAL PRADESH,BILASPUR,525.79,188.32,27.81,741.92,419.23,152.49,27.81,599.53
HIMACHAL PRADESH,CHAMBA,958.32,347.97,80.01,1386.29,920.35,316.37,80.01,1316.73
HIMACHAL PRADESH,HAMIRPUR,635.07,226.20,54.63,915.90,572.98,209.26,54.64,836.88
HIMACHAL PRADESH,KANGRA,1485.88,511.70,8.36,2005.94,1512.02,460.53,8.17,1980.72
HIMACHAL PRADESH,KINNAUR,112.23,34.50,6.90,153.63,89.74,32.88,4.45,127.07
HIMACHAL PRADESH,KULLU,569.84,217.89,30.11,817.84,479.41,183.00,28.79,691.20
HIMACHAL PRADESH,LAHAUL & SPITI,58.80,11.77,0.00,70.57,23.28,9.19,0.00,32.47
HIMACHAL PRADESH,MANDI,1171.95,540.75,267.71,1980.40,1150.72,538.95,267.61,1957.29
HIMACHAL PRADESH,SHIMLA,1082.06,378.55,108.76,1569.37,1020.43,340.45,94.28,1455.16
HIMACHAL PRADESH,SIRMAUR,1208.92,442.59,44.20,1695.71,1042.92,382.96,19.85,1445.73
HIMACHAL PRADESH,SOLAN,567.24,227.53,122.14,916.91,320.57,120.17,23.58,464.32
HIMACHAL PRADESH,UNA,372.09,139.92,115.12,627.13,301.33,118.30,7.64,427.26
JAMMU & KASHMIR,ANANTNAG,1190.27,287.11,1343.76,2821.14,1178.73,272.52,187.62,1638.87
JAMMU & KASHMIR,BANDIPORA,226.60,24.68,174.77,426.05,218.97,24.68,7.15,250.80
JAMMU & KASHMIR,BARAMULLA,1024.94,285.90,144.34,1455.18,999.18,284.26,139.68,1423.13
JAMMU & KASHMIR,BUDGAM,758.04,221.38,96.65,1076.07,769.58,221.30,94.07,1084.96
JAMMU & KASHMIR,DODA,1413.36,346.48,187.19,1947.03,1291.25,346.48,120.09,1757.82
JAMMU & KASHMIR,JAMMU,1046.44,264.81,93.76,1405.01,1018.80,264.81,93.76,1377.37
JAMMU & KASHMIR,KARGIL,292.28,72.53,15.16,379.97,285.93,71.56,15.14,372.62
JAMMU & KASHMIR,KATHUA,637.06,178.47,82.33,897.86,618.47,178.32,77.21,874.00
JAMMU & KASHMIR,KISHTWAR,135.06,71.84,11.41,218.31,138.68,71.84,11.41,221.93
JAMMU & KASHMIR,KULGAM,64.86,81.00,88.06,233.92,66.59,68.14,15.36,150.09
JAMMU & KASHMIR,KUPWARA,970.99,276.08,76.44,1323.51,764.26,276.08,76.44,1116.78
JAMMU & KASHMIR,LEH (LADAKH),267.83,120.41,20.45,408.68,229.92,114.33,20.45,364.70
JAMMU & KASHMIR,POONCH,677.59,245.92,99.23,1022.74,611.05,240.28,99.00,950.33
JAMMU & KASHMIR,PULWAMA,554.29,262.74,168.54,985.57,413.76,240.19,168.53,822.48
JAMMU & KASHMIR,RAJAURI,609.98,921.09,51.49,1582.56,506.07,921.09,51.01,1478.17
JAMMU & KASHMIR,RAMBAN,156.59,53.32,8.19,218.10,164.47,53.31,7.64,225.42
JAMMU & KASHMIR,REASI,362.22,49.20,31.01,442.43,328.36,49.15,31.01,408.52
JAMMU & KASHMIR,SAMBA,48.96,53.48,10.87,113.31,45.53,51.48,8.82,105.83
JAMMU & KASHMIR,SHOPIAN,158.41,74.42,20.11,252.93,144.28,54.46,20.11,218.85
JAMMU & KASHMIR,SRINAGAR,251.34,140.57,40.25,432.16,277.54,138.29,39.75,455.58
JAMMU & KASHMIR,UDHAMPUR,907.69,284.17,90.43,1282.29,721.11,283.26,83.75,1088.12
JHARKHAND,BOKARO,874.29,911.06,70.35,1855.70,461.66,346.25,70.35,878.26
JHARKHAND,CHATRA,1186.40,853.67,98.00,2138.07,1148.52,470.27,95.93,1714.72
JHARKHAND,DEOGHAR,1179.83,614.69,22.42,1816.94,1074.13,478.09,22.42,1574.65
JHARKHAND,DHANBAD,1140.87,984.45,73.02,2198.34,674.86,277.02,71.94,1023.82
JHARKHAND,DUMKA,2666.00,1214.81,429.01,4309.82,1986.15,847.98,429.01,3263.14
JHARKHAND,GARHWA,1840.91,828.07,81.52,2750.50,940.83,533.98,14.58,1489.40
JHARKHAND,GIRIDIH,1765.28,1274.75,109.30,3149.33,1026.99,346.34,49.98,1423.30
JHARKHAND,GODDA,1241.78,642.33,96.56,1980.67,566.94,282.34,78.76,928.04
JHARKHAND,GUMLA,1297.06,567.11,129.78,1993.95,759.46,271.22,129.78,1160.46
JHARKHAND,HAZARIBAGH,1785.42,1104.11,461.18,3350.71,1217.08,517.85,195.24,1930.18
JHARKHAND,JAMTARA,652.52,539.51,16.20,1208.23,416.48,366.58,15.55,798.61
JHARKHAND,KHUNTI,131.53,484.31,0.00,615.84,8.28,311.69,0.00,319.96
JHARKHAND,KODERMA,461.04,343.32,35.33,839.69,251.59,108.43,35.33,395.35
JHARKHAND,LATEHAR,1714.57,579.74,26.14,2320.45,1410.44,560.26,26.14,1996.84
JHARKHAND,LOHARDAGA,510.84,189.71,31.00,731.55,453.06,135.12,18.57,606.75
JHARKHAND,PAKUR,1402.17,775.69,4.23,2182.08,1067.76,486.92,4.23,1558.91
JHARKHAND,PALAMU,1745.69,811.39,97.45,2654.53,1458.68,811.37,96.45,2366.51
JHARKHAND,PASCHIM SINGHBHUM,2721.87,1285.80,38.01,4045.68,1290.81,550.25,38.01,1879.06
JHARKHAND,PURBI SINGHBHUM,1553.26,546.29,198.87,2298.42,1003.51,367.28,189.91,1560.69
JHARKHAND,RAMGARH,235.03,494.78,50.31,780.12,198.14,279.00,50.31,527.45
JHARKHAND,RANCHI,4125.60,1779.77,65.77,5971.14,2148.54,1601.14,65.77,3815.46
JHARKHAND,SAHIBGANJ,1925.47,885.76,118.25,2929.48,1456.65,879.65,26.32,2362.62
JHARKHAND,SERAIKELA KHARSAWAN,1559.66,956.92,67.07,2583.65,701.19,279.03,64.52,1044.74
JHARKHAND,SIMDEGA,645.13,601.57,35.27,1281.97,390.96,211.85,35.27,638.09
KARNATAKA,BAGALKOT,1551.20,557.90,714.90,2824.00,1251.61,544.90,3.12,1799.63
KARNATAKA,BANGALORE RURAL,1577.32,998.80,1720.18,4296.30,1698.89,787.39,286.08,2772.36
KARNATAKA,BANGALORE URBAN,905.82,379.40,66.17,1351.39,611.72,292.69,17.48,921.89
KARNATAKA,BELGAUM,2769.95,1188.90,729.04,4687.89,2282.17,1078.75,168.22,3529.14
KARNATAKA,BELLARY,2015.07,493.50,109.85,2618.42,1459.29,461.71,109.85,2030.85
KARNATAKA,BIDAR,1757.03,379.82,3.72,2140.57,858.23,330.46,3.72,1192.41
KARNATAKA,BIJAPUR,2089.55,680.50,678.69,3448.74,1203.63,555.24,24.09,1782.96
KARNATAKA,CHAMARAJANAGAR,1537.27,435.20,329.62,2302.09,1191.73,419.54,117.22,1728.49
KARNATAKA,CHICKMAGALUR,1359.05,664.93,223.30,2247.28,906.01,563.66,223.30,1692.97
KARNATAKA,CHIKBALLAPUR,157.22,210.00,0.00,367.22,192.82,18.00,0.00,210.82
KARNATAKA,CHITRADURGA,1737.85,834.23,1200.52,3772.60,1330.52,773.30,196.63,2300.44
KARNATAKA,DAVANGERE,1732.76,585.11,724.97,3042.84,1384.31,493.60,87.92,1965.82
KARNATAKA,DHARWAD,1102.99,442.85,823.88,2369.72,865.87,424.79,146.55,1437.21
