Date,State_Name,SL_No,District_Name,Outlay,Amt. Released Centre,Amt. Released State,Amt. Released Beneficiary,Amt. Released Total,Expenditure Centre,Expenditure State,Expenditure Beneficiary,Expenditure Total,IHHL construction BPL,IHHL construction APL,IHHL construction Total,Construction SCW,Construction School toilets,Construction Nursery toilets,Construction RSMs,Construction PCs,Total Expenditure BPL Toilets,Total Expenditure School Toilets,Total Expenditure Nursery toilets,Total Expenditure SCWs
29-May-2013,ASSAM,23,SIBSAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,24,SONITPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,25,TINSUKIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,26,UDALGURI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,1,ARARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,2,ARWAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,3,AURANGABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,4,BANKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,5,BEGUSARAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,6,BHAGALPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,7,BHOJPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,8,BUXAR,0,0,0,0,0,23.3,0,0,23.3,293,98,391,0,6,0,0,0,17.99,1.97,0,0
29-May-2013,BIHAR,9,DARBHANGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,10,GAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,11,GOPALGANJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,12,JAMUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,13,JEHANABAD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
29-May-2013,BIHAR,14,KAIMUR(BHABUA),0,0,0,0,0,29.04,0,0,29.04,0,0,0,0,0,0,0,0,21.34,0.7,0.88,0
29-May-2013,BIHAR,15,KATIHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,16,KHAGARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,17,KISHANGANJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,18,LAKHISARAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,19,MADHEPURA,0,0,0,0,0,2.9,2.04,0,4.95,0,0,0,0,0,0,0,0,4.94,0,0,0
29-May-2013,BIHAR,20,MADHUBANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,21,MUNGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,22,MUZAFFARPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,23,NALANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,24,NAWADA,0,0,0,0,0,5.59,4.39,0,9.98,156,20,176,0,0,10,0,0,8.1,0,0.8,0
29-May-2013,BIHAR,25,PASHCHIM CHAMPARAN,0,0,0,0,0,46.97,20.52,0,67.49,1376,657,2033,0,12,0,0,0,63.3,4.2,0,0
29-May-2013,BIHAR,26,PATNA,0,0,0,0,0,96.17,0,0,96.17,916,718,1634,0,67,0,0,0,72.65,16.71,0,1.74
29-May-2013,BIHAR,27,PURBA CHAMPARAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,28,PURNIA,0,0,0,0,0,64.99,55.72,0,120.7,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,29,SAHARSA,0,0,0,0,0,110.31,0.7,0,111.01,962,1239,2201,0,0,0,0,0,110.03,0,0,0
29-May-2013,BIHAR,30,SAMASTIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,31,SARAN,0,0,0,0,0,1.17,0.29,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,32,SASARAM(ROHTAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,33,SHEIKHPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,34,SHEOHAR,0,0,0,0,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,35,SITAMARHI,0,0,0,0,0,0,0,0,0,212,0,212,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,36,SIWAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,37,SUPAUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,BIHAR,38,VAISHALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,1,BASTAR(JAGDALPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,2,BILASPUR,0,0,0,0,0,5.08,1.3,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,3,DANTEWADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,4,DHAMTARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,5,DURG,0,0,0,0,0,3.31,0.83,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,6,JANJGIR - CHAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,7,JASHPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,8,KANKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,9,KAWARDHA(KABIRDHAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,10,KORBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,11,KORIYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,12,MAHASAMUND,0,0,0,0,0,1.49,0.38,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,13,RAIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,14,RAIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,15,RAJNANDGAON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,CHHATTISGARH,16,SURGUJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,D & N HAVELI,1,DADRA AND NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GOA,1,NORTH GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GOA,2,SOUTH GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,1,AHMEDABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,2,AMRELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,3,ANAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,4,BANAS KANTHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,5,BHARUCH,0,0,0,0,0,15.95,6.82,0,22.77,473,0,473,0,0,0,0,0,21.76,0,0,0
29-May-2013,GUJARAT,6,BHAVNAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,7,DAHOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,8,DANGS,0,0,0,0,0,0.78,0.2,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,9,GANDHINAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,10,JAMNAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,11,JUNAGADH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,12,KACHCHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,13,KHEDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,14,MAHESANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,15,NARMADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,16,NAVSARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,17,PANCH MAHALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,18,PATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,19,PORBANDAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,20,RAJKOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,21,SABAR KANTHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,22,SURAT,0,0,0,0,0,2.26,0.56,0,2.82,0,30,30,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,23,SURENDRANAGAR,0,0,0,0,0,0.34,0.08,0,0.42,361,275,636,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,24,VADODARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,GUJARAT,25,VALSAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,1,AMBALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,2,BHIWANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,3,FARIDABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,4,FATEHABAD,0,0,0,0,0,-120.8,-26.45,0,-147.25,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,5,GURGAON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,6,HISAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,7,JHAJJAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,8,JIND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,9,KAITHAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,10,KARNAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,11,KURUKSHETRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,12,MAHENDRAGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,13,MEWAT,0,0,0,0,0,1.85,-1.5,0,0.35,0,0,0,0,0,0,0,0,0.34,0,0,0
29-May-2013,HARYANA,14,PANCHKULA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,15,PANIPAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,16,REWARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,17,ROHTAK,0,0,0,0,0,0,-6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,18,SIRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,19,SONIPAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HARYANA,20,YAMUNANAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,1,BILASPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,2,CHAMBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,3,HAMIRPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,4,KANGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,5,KINNAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,6,KULLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,7,LAHAUL & SPITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,8,MANDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,9,SHIMLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,10,SIRMAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,11,SOLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,HIMACHAL PRADESH,12,UNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,1,ANANTNAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,2,BANDIPORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,3,BARAMULLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,4,BUDGAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,5,DODA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,6,JAMMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,7,KARGIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,8,KATHUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,9,KISHTWAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,10,KULGAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,11,KUPWARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,12,LEH (LADAKH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,13,POONCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,14,PULWAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,JAMMU & KASHMIR,15,RAJAURI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
