State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ANDHRA PRADESH,22,WEST GODAVARI,9050.9,5877.01,2264.52,909.37,4280.96,5850,1148.58,11279.54,3362.44,5437.7,1123.37,9923.5,12-03-2003,Feb-13,344272,294425,638697,385,4551,216,10,0,314408,294425,608833,837,4398,316,5595.99,7714.24,100,1209.6,1235.71,100,19.26,10.34,53.69,281.05,498.54,100,344272,294425,638697,314408,108175,14026,185733,0,38.87,294425,100,20,0,0,0,0,608833
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.3,63.56,46.78,0,110.34,55.56,17.08,0,72.64,15-01-2008,Feb-13,3232,0,3232,8,44,46,1,0,1480,0,1480,1,48,48,117.93,41.58,35.26,8.8,13.6,100,2.6,1.95,75,16,0,0,3232,0,3232,1480,0,1480,0,0,100,0,0,0,0,0,0,0,1480
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,304.9,96.22,26.27,427.39,307.1,49.08,26.27,382.45,23-11-2005,Feb-13,15716,2799,18515,25,384,250,0,0,6785,2450,9235,19,384,218,548.48,186.29,33.96,76.8,76.8,100,17.96,21.6,100,50,36.8,73.6,15716,2799,18515,6785,0,6671,114,0,98.32,2450,0,2450,0,0,0,0,9235
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,54.51,24.62,4.16,83.29,35.32,11.61,3.58,50.52,29-01-2002,Feb-13,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,10,34.86,32.64,93.63,32.98,8,24.26,2.22,0,0,0,0,0,1085,0,1085,1088,0,1088,0,0,100,0,0,0,0,0,0,0,1088
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.8,102.83,30.72,227.65,92.23,8.84,328.72,185.21,43.96,8.84,238.01,23-11-2005,Feb-13,7016,1280,8296,25,288,216,0,0,4626,1280,5906,2,288,216,221.03,92.82,41.99,57.6,90.3,100,18,5.32,29.56,50,2,4,7016,1280,8296,4626,0,4626,0,0,100,1280,0,0,0,0,0,0,5906
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,224.48,112.25,0,336.73,146.93,54.23,0,201.15,23-11-2005,Dec-12,8222,4723,12945,25,244,42,6,0,4537,1412,5949,0,244,50,294.88,133.32,45.21,48.8,47.1,96.52,2.1,1.83,87.14,50,0,0,8222,4723,12945,4537,0,4537,0,0,100,1412,0,0,0,0,0,0,5949
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,446.76,121.83,0,568.59,446.59,35.85,0,482.44,23-11-2005,Jan-13,22036,0,22036,30,684,164,0,0,11671,0,11671,2,684,164,819.12,245.04,29.92,196.56,136.8,69.6,8.2,8.2,100,60,0,0,22036,0,22036,11671,0,783,0,0,6.71,0,0,0,0,0,0,0,11671
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.6,214.62,70.93,30.6,316.15,210.12,50.45,23,283.57,03-03-2000,Jan-13,8800,0,8800,26,240,182,0,0,8410,1129,9539,23,240,182,145.53,126.98,87.25,48,48,100,9.9,9.26,93.54,52,37.89,72.87,8800,0,8800,8410,0,8410,0,0,100,1129,0,0,0,0,0,0,9539
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.4,7.24,64.94,26.93,4.26,96.13,41.32,20.28,3.76,65.35,15-01-2008,Feb-13,2366,1200,3566,0,134,82,0,0,1513,1200,2713,0,134,82,50.92,29.04,57.03,28.66,20.74,72.37,4.5,4.86,100,0,0,0,2366,1200,3566,1513,0,1513,0,0,100,1200,0,0,0,0,0,0,2713
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,362.98,250.78,83.68,28.52,203.1,92.04,16.16,311.3,148.82,44.82,16.16,209.8,23-11-2005,Feb-13,5766,1164,6930,26,232,119,3,0,3807,1164,4971,13,232,119,189.29,91.24,48.2,46.4,46.4,100,5.96,5.26,88.26,52,25.9,49.81,5766,1164,6930,3807,0,3807,0,0,100,1164,0,0,0,0,0,0,4971
ARUNACHAL PRADESH,10,PAPUM PARE,150.1,102.86,37.79,9.45,95.09,69.45,0,164.54,69.77,50.85,0,120.62,23-11-2005,Jan-13,1268,3778,5046,17,140,113,8,0,267,3778,4045,3,140,113,44.04,2.64,5.99,28,58.92,100,5.66,0,0,34,3.53,10.38,1268,3778,5046,267,0,267,0,0,100,3778,0,3778,0,0,0,0,4045
