State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT,Appr_BPL,Exp_BPL,Age_BPL,Appr_School,Exp_School,Age_School,Appr_Angan,Exp_Angan,Age_Angan,Appr_San,Exp_San,Age_San,BPL_Obj,APL_Obj,IHHL_Total,BPL_Total,BPL_Ach_IHHL_SC,BPL_Ach_IHHL_ST,BPL_Ach_IHHL_Genral,BPL_Ach_IHHL_PH,BPL_SC&ST_%,APL_Total,APL_Ach_SC,APL_Ach_ST,APL_Ach_SMF,APL_Ach_LL_WH,APL_Ach_PH,APL_Ach_WHH,IHHL_Total
ANDHRA PRADESH,21,WARANGAL,23-04-2002,Mar-13,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1493.59,547.57,184.76,2225.92,6027.11,3819.19,1309.33,898.59,330260,138180,468440,0,4122,2157,10,23-04-2002,Mar-13,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,477,0,0,,,,,,,,,,205322,192120,137555,83572,75577,26776,19397,110348,94974,207,2104,93,65,1,0,3929.91,1131.18,28.78,870.6,809.92,93.03,168.49,23.76,14.1,0,0,0,330260,138180,468440,359732,30645,15980,113831,0,12.96,345450,0,0,0,0,0,0,705182
ANDHRA PRADESH,22,WEST GODAVARI,12-03-2003,Mar-13,9050.9,5877.01,2264.52,909.37,4280.96,5850,1148.58,11279.54,3704.82,5437.7,1123.37,10265.88,9050.9,5877.01,2264.52,909.37,344272,294425,638697,385,4551,216,10,12-03-2003,Mar-13,344272,294425,638697,385,4551,216,10,0,319477,294425,613902,837,4524,316,97,0,9050.9,5877.01,3,4,17-05-2012,572.67,244.61,13.39,830.67,887247,161390,18632,277550,252275,229183,128239,506733,380514,904,1694,434,151,134,385,5595.99,7955.84,100,1209.6,1323.21,100,19.26,10.34,53.69,281.05,498.54,100,344272,294425,638697,319477,108175,14026,185733,0,38.25,294425,100,20,0,0,0,0,613902
ARUNACHAL PRADESH,1,ANJAW,15-01-2008,Mar-13,177.73,124.04,40.39,13.3,93.46,46.78,0,140.24,55.56,29.24,0,84.8,177.73,124.04,40.39,13.3,3232,0,3232,8,44,46,1,15-01-2008,Feb-13,3232,0,3232,8,44,46,1,0,1480,0,1480,1,48,48,0,0,,,,,,,,,,3893,0,3893,661,3232,0,0,661,3232,17,37,0,33,0,0,117.93,52.14,44.21,8.8,13.6,100,2.6,1.95,75,16,1.6,10,3232,0,3232,1490,0,1490,0,0,100,0,0,0,0,0,0,0,1490
ARUNACHAL PRADESH,2,CHANGLANG,23-11-2005,Mar-13,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,316.16,73.38,38.47,428.01,842.74,590.62,191.87,60.25,15716,2799,18515,25,384,250,0,23-11-2005,Feb-13,15716,2799,18515,25,384,250,0,0,6785,2450,9235,19,384,218,1,0,,,,,,,,,,9971,0,9318,138,7035,2777,21,2915,7056,0,193,0,250,0,25,548.48,226.85,41.36,76.8,76.8,100,17.96,22.6,100,50,40.8,81.6,15716,2799,18515,7295,0,7181,114,0,98.44,2450,0,2450,0,0,0,0,9745
ARUNACHAL PRADESH,3,DIBANG VALLEY,29-01-2002,Feb-13,90.02,63.88,21.47,4.67,59.14,24.62,4.16,87.92,35.32,11.61,3.58,50.52,90.02,63.88,21.47,4.67,1085,0,1085,0,102,27,0,29-01-2002,Feb-13,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,10,0,0,90.02,63.88,1,4,28-08-2012,1.8,0.3,1.43,3.53,1081,4,975,0,1081,0,0,0,1081,15,9,0,0,0,0,34.86,32.64,93.63,32.98,8,24.26,2.22,0,0,0,0,0,1085,0,1085,1088,0,1088,0,0,100,0,0,0,0,0,0,0,1088
ARUNACHAL PRADESH,4,EAST KAMENG,23-11-2005,Mar-13,440.35,306.8,102.83,30.72,266.78,92.23,8.84,367.85,185.21,43.96,8.84,238.01,440.35,306.8,102.83,30.72,7016,1280,8296,25,288,216,0,23-11-2005,Feb-13,7016,1280,8296,25,288,216,0,0,4626,1280,5906,2,288,216,0,0,440.35,306.8,1,4,28-08-2012,9.78,--,38.67,48.45,9339,24,9123,4693,3528,289,829,4982,4357,132,93,56,216,1,0,221.03,92.82,41.99,57.6,90.3,100,18,5.32,29.56,50,2,4,7016,1280,8296,4626,0,4626,0,0,100,1280,0,0,0,0,0,0,5906
ARUNACHAL PRADESH,5,EAST SIANG,23-11-2005,Mar-13,457.78,311.35,113.17,33.26,267.43,112.25,0,379.68,172.6,64.15,0,236.75,457.78,311.35,113.17,33.26,8222,4723,12945,25,244,42,6,23-11-2005,Dec-12,8222,4723,12945,25,244,42,6,0,4537,1412,5949,0,244,50,0,0,457.78,311.35,2,1,28-08-2012,16.72,0.14,38.89,55.75,8853,0,8853,0,8020,145,688,145,8708,5,46,0,42,6,0,294.88,146.9,49.82,48.8,47.1,96.52,2.1,1.83,87.14,50,7.67,15.34,8222,4723,12945,4537,0,4537,0,0,100,1718,0,1680,0,0,0,0,6255
ARUNACHAL PRADESH,6,KURUNG KUMEY,23-11-2005,Mar-13,1306.32,919.89,303.61,82.82,680.65,121.83,0,802.48,448.99,47.84,0,496.84,1306.32,919.89,303.61,82.82,22036,0,22036,30,684,164,0,23-11-2005,Jan-13,22036,0,22036,30,684,164,0,0,11671,0,11671,2,684,164,0,0,,,,,,,,,,17061,0,17058,0,17024,37,0,37,17024,12,115,0,0,0,0,819.12,255.83,31.23,196.56,136.8,69.6,8.2,8.2,100,60,3.6,6,22036,0,22036,11671,0,783,0,0,6.71,0,0,0,0,0,0,0,11671
ARUNACHAL PRADESH,7,LOHIT,03-03-2000,Mar-13,354.99,243.65,82.74,28.6,228.98,82.12,30.6,341.7,210.12,50.45,23,283.57,354.99,243.65,82.74,28.6,8800,0,8800,26,240,182,0,03-03-2000,Jan-13,8800,0,8800,26,240,182,0,0,8410,1129,9539,23,240,182,1,0,354.99,243.65,2,1,28-08-2012,3.23,0.6,1.91,5.74,11999,0,11999,824,8138,3037,0,3861,8138,21,129,22,159,0,7,145.53,126.98,87.25,48,48,100,9.9,9.26,93.54,52,37.89,72.87,8800,0,8800,8410,0,8410,0,0,100,1129,0,0,0,0,0,0,9539
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,15-01-2008,Mar-13,112.32,78.68,26.4,7.24,71.73,40.33,4.4,116.46,41.46,20.32,3.76,65.54,112.32,78.68,26.4,7.24,2366,1200,3566,0,134,82,0,15-01-2008,Feb-13,2366,1200,3566,0,134,82,0,0,1513,1200,2713,0,134,82,0,0,112.32,78.68,1,4,28-08-2012,3.45,0.4,2.73,6.58,3602,0,3602,869,1494,382,857,1251,2351,54,7,67,8,0,0,50.92,29.04,57.03,28.66,20.74,72.37,4.5,4.86,100,0,0,0,2366,1200,3566,1513,0,1513,0,0,100,1200,0,0,0,0,0,0,2713
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,23-11-2005,Mar-13,362.98,250.78,83.68,28.52,226.68,92.04,16.16,334.88,170.11,90.7,16.16,276.96,362.98,250.78,83.68,28.52,5766,1164,6930,26,232,119,3,23-11-2005,Feb-13,5766,1164,6930,26,232,119,3,0,3807,1164,4971,13,232,119,3,0,,,,,,,,,,8543,0,8543,414,5766,1199,1164,1613,6930,0,123,1,119,0,10,189.29,147.6,77.98,46.4,46.4,100,5.96,5.26,88.26,52,36.7,70.58,5766,1164,6930,4516,0,4516,0,0,100,1164,0,0,0,0,0,0,5680
ARUNACHAL PRADESH,10,PAPUM PARE,23-11-2005,Mar-13,150.1,102.86,37.79,9.45,98.93,69.45,0,168.38,88.34,50.85,0,139.19,150.1,102.86,37.79,9.45,1268,3778,5046,17,140,113,8,23-11-2005,Jan-13,1268,3778,5046,17,140,113,8,0,267,3778,4045,3,140,113,0,0,,,,,,,,,,1257,0,6928,0,1257,0,0,0,1257,151,58,122,42,0,0,44.04,5.34,12.13,28,58.92,100,5.66,15.8,100,34,3.6,10.59,1268,3778,5046,267,0,267,0,0,100,3778,0,3778,0,0,0,0,4045
ARUNACHAL PRADESH,11,TAWANG,23-11-2005,Mar-13,321.84,224.27,72.34,25.23,195.08,66.64,10.47,272.19,129.27,33.57,10.47,173.31,321.84,224.27,72.34,25.23,5478,1210,6688,21,156,91,4,23-11-2005,Jan-13,5478,1210,6688,21,156,91,4,0,3965,1210,5175,13,156,75,1,0,321.84,224.27,1,4,28-08-2012,8.64,0.5,27.04,36.18,5705,0,5555,0,4019,496,1190,496,5209,6,86,1,13,2,0,178.79,89.74,50.19,31.2,31,99.36,5.36,0.75,13.99,42,25.4,60.48,5478,1210,6688,4191,0,4191,0,0,100,1210,0,1210,0,0,0,0,5401
