State_Name,District_Name,Project_Objectives_IHHL_BPL,Project_Objectives_IHHL_APL,Project_Objectives_IHHL_TOTAL,Project_Objectives_SCW,Project_Objectives_School_Toilets,Project_Objectives_Anganwadi_Toilets,Project_Objectives_RSM,Project_Objectives_PC,Project_Performance-IHHL_BPL,Project_Performance-IHHL_APL,Project_Performance-IHHL_TOTAL,Project_Performance-SCW,Project_Performance-School_Toilets,Project_Performance-Anganwadi_Toilets,Project_Performance-RSM,Project_Performance-PC
MADHYA PRADESH,SATNA,225199,119149,344348,66,3358,1845,7,1,174071,100345,274416,42,4966,1845,5,0
MADHYA PRADESH,SEHORE,34355,86987,121342,4,3230,62,10,0,78904,72588,151492,4,2729,137,13,0
MADHYA PRADESH,SEONI,104769,122727,227496,10,2794,1718,4,0,93557,81252,174809,5,2780,890,22,0
MADHYA PRADESH,SHAHDOL,84802,74157,158959,45,2500,878,8,1,86605,69487,156092,35,3669,849,14,1
MADHYA PRADESH,SHAJAPUR,65429,91295,156724,18,3259,313,7,1,75360,87184,162544,17,2100,288,8,1
MADHYA PRADESH,SHEOPUR,18198,63230,81428,10,1054,189,9,1,29182,44695,73877,9,964,189,2,1
MADHYA PRADESH,SHIVPURI,65212,149252,214464,52,2814,148,7,1,46994,94979,141973,20,3594,148,3,0
MADHYA PRADESH,SIDHI,127045,68292,195337,20,1458,488,8,1,65297,53290,118587,9,2971,488,4,0
MADHYA PRADESH,SINGRAULI,53722,98994,152716,7,1936,472,3,0,53722,39623,93345,7,2975,468,3,0
MADHYA PRADESH,TIKAMGARH,66866,97843,164709,30,5086,112,6,0,44678,43374,88052,5,3940,110,9,1
MADHYA PRADESH,UJJAIN,68225,166634,234859,50,3800,1006,10,0,78159,115778,193937,45,2843,1006,16,3
MADHYA PRADESH,UMARIA,40359,78621,118980,51,2303,300,9,1,54778,64522,119300,39,2471,326,2,1
MADHYA PRADESH,VIDISHA,96852,88789,185641,14,2940,145,6,1,84923,69289,154212,43,2741,145,12,0
MAHARASHTRA,AHMEDNAGAR,134247,304214,438461,50,2800,3646,14,0,132541,309178,441719,50,2800,3339,14,0
MAHARASHTRA,AKOLA,81443,106045,187488,0,1547,1000,7,0,57515,66620,124135,3,1547,1000,14,5
MAHARASHTRA,AMRAVATI,176172,133894,310066,108,1587,1801,10,0,98878,78712,177590,67,1587,1664,11,2
MAHARASHTRA,AURANGABAD,110190,174106,284296,154,1787,1810,10,0,61337,120991,182328,170,1787,1810,20,0
MAHARASHTRA,BEED,90500,385000,475500,53,3154,1614,10,0,57972,108976,166948,143,3154,2108,45,0
MAHARASHTRA,BHANDARA,93065,39555,132620,45,1347,1081,5,2,81806,63626,145432,45,1347,1081,10,2
MAHARASHTRA,BULDHANA,117275,208512,325787,70,2730,1833,28,0,71353,75434,146787,70,2730,2310,25,5
MAHARASHTRA,CHANDRAPUR,143479,148429,291908,66,2022,1833,25,0,113952,105198,219150,55,2022,1833,22,0
MAHARASHTRA,DHULE,106598,77574,184172,142,1473,1489,10,0,85946,71941,157887,142,1473,1793,96,4
MAHARASHTRA,GADCHIROLI,75900,53113,129013,54,1278,1321,9,3,76364,42372,118736,54,1278,1321,24,0
MAHARASHTRA,GONDIA,120714,59502,180216,175,1731,1298,6,2,114065,57388,171453,69,1731,1298,20,0
MAHARASHTRA,HINGOLI,52157,146643,198800,200,1797,910,9,1,48126,107722,155848,200,1797,910,9,1
MAHARASHTRA,JALGAON,214260,304787,519047,725,3627,2618,15,0,131914,161569,293483,725,3627,2802,15,0
MAHARASHTRA,JALNA,85470,139011,224481,124,2200,1550,8,0,83138,129709,212847,75,2200,1550,8,0
MAHARASHTRA,KOLHAPUR,75993,322439,398432,985,2210,3167,10,0,60990,322439,383429,947,2510,3964,25,0
MAHARASHTRA,LATUR,74260,200093,274353,115,2556,1017,8,2,47104,91674,138778,50,2556,1181,14,0
MAHARASHTRA,NAGPUR,67367,182311,249678,300,2219,1775,10,0,59814,148924,208738,192,2219,1649,67,13
MAHARASHTRA,NANDED,101990,189813,291803,69,4432,2695,10,0,57169,98629,155798,19,4432,2695,16,0
MAHARASHTRA,NANDURBAR,134118,79135,213253,132,2216,866,6,0,75548,30668,106216,77,2216,1211,6,0
MAHARASHTRA,NASHIK,202284,249900,452184,54,2072,3427,12,3,150249,193091,343340,41,2072,2073,31,0
MAHARASHTRA,OSMANABAD,54312,144344,198656,57,1689,752,3,1,54327,89014,143341,30,1689,981,26,1
MAHARASHTRA,PARBHANI,53647,200093,253740,56,1540,863,6,3,47092,68143,115235,29,1540,1263,12,0
MAHARASHTRA,PUNE,97302,305917,403219,633,5684,2480,10,0,95368,303252,398620,331,5684,3680,46,1
MAHARASHTRA,RAIGAD,124656,183838,308494,500,4915,1931,10,0,98670,193764,292434,603,4915,2131,22,0
MAHARASHTRA,RATNAGIRI,95726,222099,317825,575,4167,1147,10,0,102382,161470,263852,541,4167,1812,9,0
MAHARASHTRA,SANGLI,50210,199976,250186,900,3274,2151,10,0,41990,179061,221051,304,3274,2278,25,2
MAHARASHTRA,SATARA,83517,306199,389716,852,4419,3431,10,0,71963,299910,371873,852,4878,3650,49,0
MAHARASHTRA,SINDHUDURG,43874,73459,117333,460,2292,1050,3,1,43874,73459,117333,460,2292,1101,17,0
MAHARASHTRA,SOLAPUR,167757,291036,458793,52,4045,3378,9,1,117462,250626,368088,22,4045,3378,11,0
MAHARASHTRA,THANE,235922,299502,535424,300,4883,2616,10,3,226374,297341,523715,300,4883,2616,16,3
MAHARASHTRA,WARDHA,63339,71069,134408,56,1298,852,6,2,59350,61233,120583,38,1298,852,10,6
MAHARASHTRA,WASHIM,107896,97057,204953,50,1526,950,4,2,47763,47923,95686,38,1684,1075,4,0
MAHARASHTRA,YAVATMAL,187799,206239,394038,98,2935,1724,16,0,87450,115691,203141,76,2935,1946,32,4
MANIPUR,BISHNUPUR,12152,4850,17002,24,302,84,2,0,10680,4450,15130,24,302,84,0,3
MANIPUR,CHANDEL,17610,0,17610,50,434,182,5,0,13500,0,13500,45,434,182,0,0
MANIPUR,CHURACHANDPUR,33864,3762,37626,50,676,190,7,0,16555,3762,20317,37,676,190,5,0
MANIPUR,IMPHAL EAST,13189,12030,25219,50,804,119,3,0,12550,6815,19365,52,804,119,3,0
MANIPUR,IMPHAL WEST,20608,4405,25013,45,156,0,5,0,16434,3509,19943,40,156,0,6,0
MANIPUR,SENAPATI,47968,28392,76360,50,490,185,1,0,29332,13181,42513,26,490,185,0,0
MANIPUR,TAMENGLONG,13380,1486,14866,50,424,0,4,0,11968,1486,13454,40,424,0,0,0
MANIPUR,THOUBAL,23264,5250,28514,42,395,42,3,0,18411,5250,23661,42,395,42,3,0
MANIPUR,UKHRUL,12852,8192,21044,25,238,399,5,0,1364,8192,9556,2,238,399,0,0
MEGHALAYA,EAST GARO HILLS,31739,6469,38208,10,1311,177,10,0,21924,9750,31674,25,1131,177,6,0
MEGHALAYA,EAST KHASI HILLS,42284,32778,75062,50,2148,349,4,0,32887,27645,60532,52,2148,380,0,0
MEGHALAYA,JAINTIA HILLS,31950,6729,38679,50,595,155,5,0,20452,4585,25037,26,493,141,5,0
MEGHALAYA,RI BHOI,16276,21196,37472,50,1946,305,3,0,13741,12275,26016,38,1946,290,0,0
MEGHALAYA,SOUTH GARO HILLS,12891,5346,18237,30,1074,227,4,0,11670,3199,14869,21,474,129,0,0
MEGHALAYA,WEST GARO HILLS,44385,11179,55564,50,2244,448,4,0,44385,8700,53085,6,1447,388,1,0
