State_Name,District_Name,Project_Objectives_IHHL_BPL,Project_Objectives_IHHL_APL,Project_Objectives_IHHL_TOTAL,Project_Objectives_SCW,Project_Objectives_School_Toilets,Project_Objectives_Anganwadi_Toilets,Project_Objectives_RSM,Project_Objectives_PC,Project_Performance-IHHL_BPL,Project_Performance-IHHL_APL,Project_Performance-IHHL_TOTAL,Project_Performance-SCW,Project_Performance-School_Toilets,Project_Performance-Anganwadi_Toilets,Project_Performance-RSM,Project_Performance-PC
ASSAM,NAGAON,168391,60850,229241,0,2468,621,10,0,159819,12336,172155,0,2468,621,0,0
ASSAM,NALBARI,88093,127387,215480,0,282,710,5,0,54063,20039,74102,0,282,597,0,0
ASSAM,NORTH CACHAR HILLS,21328,1102,22430,0,810,194,5,0,5398,0,5398,0,54,16,0,0
ASSAM,SIBSAGAR,74686,52367,127053,0,2135,935,4,0,64135,22642,86777,0,2135,935,1,8
ASSAM,SONITPUR,120048,93032,213080,42,1951,607,6,0,102465,24927,127392,3,1951,607,3,0
ASSAM,TINSUKIA,68774,29814,98588,0,870,623,8,0,59971,26499,86470,0,870,574,8,0
ASSAM,UDALGURI,85751,67169,152920,30,1434,396,7,0,50742,13584,64326,30,1434,234,1,0
BIHAR,ARARIA,100000,74194,174194,50,1594,42,10,0,62048,4241,66289,0,1594,37,10,1
BIHAR,ARWAL,50500,43853,94353,50,848,53,5,0,30592,6529,37121,14,816,35,1,0
BIHAR,AURANGABAD,123115,90829,213944,50,3060,463,10,0,51815,15494,67309,23,2243,251,0,12
BIHAR,BANKA,82439,0,82439,75,2764,386,10,0,51202,18785,69987,31,2764,167,0,11
BIHAR,BEGUSARAI,192877,192877,385754,333,2156,724,10,0,168344,30700,199044,306,2086,388,80,4
BIHAR,BHAGALPUR,154950,187409,342359,50,2602,1331,10,0,88870,26513,115383,66,2602,73,2,2
BIHAR,BHOJPUR,164410,131472,295882,50,3350,319,10,0,84143,57392,141535,0,3350,319,7,7
BIHAR,BUXAR,85268,78398,163666,50,1654,96,10,0,39024,41575,80599,20,1654,96,12,3
BIHAR,DARBHANGA,360250,282960,643210,50,3492,488,10,0,142902,47022,189924,2,2388,384,23,11
BIHAR,GAYA,295670,109655,405325,50,4742,1310,10,0,110361,38062,148423,0,4530,292,10,22
BIHAR,GOPALGANJ,145610,56156,201766,50,2334,848,10,0,64575,30060,94635,10,2334,360,10,2
BIHAR,JAMUI,109377,118537,227914,50,2042,323,10,0,47479,14085,61564,2,2042,234,10,10
BIHAR,JEHANABAD,52100,40435,92535,50,1372,405,7,0,25404,10805,36209,14,1336,228,0,7
BIHAR,KAIMUR(BHABUA),82439,82641,165080,50,1810,355,10,0,48720,17944,66664,21,1810,279,0,10
BIHAR,KATIHAR,252534,150055,402589,52,2684,182,10,0,171387,39113,210500,41,2552,142,0,0
BIHAR,KHAGARIA,133528,69746,203274,50,1358,169,10,0,63656,16532,80188,47,1230,141,2,10
BIHAR,KISHANGANJ,108000,116799,224799,50,1429,88,10,0,71074,13504,84578,9,1229,88,0,26
BIHAR,LAKHISARAI,84742,74314,159056,50,988,252,7,0,37081,21641,58722,2,714,48,10,0
BIHAR,MADHEPURA,129796,119115,248911,50,1850,207,13,0,87417,23311,110728,2,1762,109,0,40
BIHAR,MADHUBANI,67482,69746,137228,63,4572,1127,10,0,67482,32611,100093,18,2832,452,5,5
BIHAR,MUNGER,86197,45296,131493,50,1334,310,10,0,25735,5032,30767,4,1286,78,0,14
BIHAR,MUZAFFARPUR,333183,278964,612147,101,5302,740,10,0,322094,59848,381942,53,5043,148,0,22
BIHAR,NALANDA,152866,157933,310799,94,3608,891,10,0,66647,21136,87783,1,2335,245,0,20
BIHAR,NAWADA,165884,69176,235060,50,2348,436,10,0,65524,14889,80413,8,2326,202,14,8
BIHAR,PASHCHIM CHAMPARAN,219434,10832,230266,50,3578,318,10,0,125571,31783,157354,0,3203,74,0,40
BIHAR,PATNA,220881,212726,433607,50,6670,553,10,0,158958,61527,220485,6,5441,317,32,67
BIHAR,PURBA CHAMPARAN,286090,246155,532245,94,4368,282,10,0,145123,24784,169907,45,3722,247,97,128
BIHAR,PURNIA,171263,282408,453671,50,2484,175,10,0,128573,30115,158688,8,2186,102,0,66
BIHAR,SAHARSA,101440,139000,240440,50,1554,256,10,0,84010,16638,100648,9,1532,115,10,14
BIHAR,SAMASTIPUR,335606,257444,593050,50,4936,559,10,0,154554,32235,186789,2,4086,559,25,25
BIHAR,SARAN,189465,283058,472523,50,3798,344,10,0,117781,62478,180259,5,3598,117,0,27
BIHAR,SASARAM(ROHTAS),180000,233378,413378,50,3208,476,10,0,100671,74777,175448,3,3208,476,0,0
BIHAR,SHEIKHPURA,44073,20595,64668,50,896,220,6,0,21602,14444,36046,4,770,127,12,0
BIHAR,SHEOHAR,58032,43996,102028,50,581,66,5,0,37069,14044,51113,5,581,66,6,0
BIHAR,SITAMARHI,294276,136865,431141,50,2750,173,10,0,46642,22732,69374,180,2678,123,15,15
BIHAR,SIWAN,234450,136765,371215,50,3124,702,10,0,106942,47666,154608,4,3124,300,6,0
BIHAR,SUPAUL,156954,136428,293382,50,1804,257,11,0,62899,11800,74699,13,1804,257,0,0
BIHAR,VAISHALI,190598,195325,385923,50,3224,518,10,0,201212,94305,295517,12,2978,487,1,95
CHHATTISGARH,BASTAR(JAGDALPUR),127241,103140,230381,50,6078,1338,14,0,69057,49079,118136,44,6573,1338,1,0
CHHATTISGARH,BILASPUR,205812,171198,377010,50,4263,1471,7,3,122513,99275,221788,23,4263,1471,10,0
CHHATTISGARH,DANTEWADA,84452,30459,114911,20,2435,1020,5,0,37876,12720,50596,12,2435,1020,2,2
CHHATTISGARH,DHAMTARI,38501,73490,111991,50,1810,321,10,0,32195,44029,76224,1,1810,321,3,3
CHHATTISGARH,DURG,101957,307630,409587,47,2436,300,10,0,65712,111515,177227,18,2735,306,12,0
CHHATTISGARH,JANJGIR - CHAMPA,111603,83716,195319,50,2908,52,10,0,70855,71121,141976,84,2908,54,0,0
CHHATTISGARH,JASHPUR,56623,76903,133526,24,3226,339,0,0,56029,45190,101219,5,3226,339,0,0
CHHATTISGARH,KANKER,50835,60565,111400,50,1737,344,10,0,41245,32889,74134,26,1737,453,0,0
CHHATTISGARH,KAWARDHA(KABIRDHAM),53025,46800,99825,12,1348,141,4,0,40750,29121,69871,12,1348,141,0,0
CHHATTISGARH,KORBA,50691,74471,125162,50,3618,1223,0,0,63983,49162,113145,17,3618,1223,5,5
CHHATTISGARH,KORIYA,38296,39493,77789,15,2282,952,5,0,30864,18345,49209,2,2282,778,0,0
CHHATTISGARH,MAHASAMUND,98828,81327,180155,50,4083,140,3,0,70358,26433,96791,3,3189,311,2,1
CHHATTISGARH,RAIGARH,128423,77298,205721,50,2007,942,0,0,75577,26100,101677,46,2007,942,0,0
CHHATTISGARH,RAIPUR,163722,277297,441019,50,4257,511,12,3,111980,91435,203415,1,4265,610,23,0
CHHATTISGARH,RAJNANDGAON,89706,117846,207552,0,5285,619,10,0,70647,81911,152558,0,5008,780,8,0
CHHATTISGARH,SURGUJA,168885,202220,371105,50,4565,498,0,0,140083,74991,215074,5,4565,498,0,0
D & N HAVELI,DADRA AND NAGAR HAVELI,2480,0,2480,12,0,0,1,0,37,0,37,1,0,0,0,0
GOA,NORTH GOA,15000,0,15000,150,283,116,0,0,15000,0,15000,0,208,8,0,0
GOA,SOUTH GOA,2935,27388,30323,0,448,431,3,0,2031,17522,19553,0,238,50,0,0
GUJARAT,AHMEDABAD,80192,169360,249552,35,920,678,31,0,80192,122225,202417,26,920,473,31,0
GUJARAT,AMRELI,67802,85978,153780,52,1131,833,10,0,62151,73559,135710,49,936,763,28,0
GUJARAT,ANAND,72058,65359,137417,52,628,488,1,0,70002,71453,141455,69,628,180,2,0
GUJARAT,BANAS KANTHA,126536,248418,374954,62,3588,1658,0,0,125652,192437,318089,70,3588,1299,12,0
GUJARAT,BHARUCH,78463,66044,144507,72,2145,1154,10,0,76055,65466,141521,51,997,883,9,0
GUJARAT,BHAVNAGAR,31305,87900,119205,54,600,1145,0,0,31591,72958,104549,100,628,839,42,0
GUJARAT,DAHOD,134798,63693,198491,87,1894,2297,0,0,131790,47474,179264,125,1894,1872,7,0
GUJARAT,DANGS,27900,16143,44043,40,216,290,0,0,27900,13382,41282,40,216,290,4,1
GUJARAT,GANDHINAGAR,13830,134168,147998,50,327,842,10,0,11332,56073,67405,49,598,757,4,0
GUJARAT,JAMNAGAR,45478,121757,167235,150,1877,1435,0,0,47864,125210,173074,75,1005,678,13,0
GUJARAT,JUNAGADH,56444,155606,212050,50,1424,515,10,0,55887,129488,185375,58,1424,518,14,0
GUJARAT,KACHCHH,45596,172755,218351,84,1534,377,10,0,37781,91084,128865,100,1372,315,10,0
GUJARAT,KHEDA,140212,158858,299070,81,2699,2284,10,0,138941,172506,311447,89,2699,2132,22,1
GUJARAT,MAHESANA,61499,175540,237039,53,1995,1128,10,0,61938,186956,248894,53,706,970,10,0
GUJARAT,NARMADA,58730,17385,76115,100,659,757,0,0,57297,16985,74282,5,659,550,6,0
GUJARAT,NAVSARI,75015,91094,166109,45,1347,1369,10,0,75015,79630,154645,52,1347,1118,5,2
GUJARAT,PANCH MAHALS,156835,223369,380204,61,3272,1578,22,0,153720,142680,296400,91,3272,1400,23,0
GUJARAT,PATAN,58741,122970,181711,58,760,773,10,0,60055,108463,168518,42,762,773,10,0
GUJARAT,PORBANDAR,17024,49264,66288,64,715,178,4,0,17024,37184,54208,64,462,128,4,0
GUJARAT,RAJKOT,78753,187031,265784,71,2532,820,10,0,79437,116938,196375,129,2400,820,14,0
GUJARAT,SABAR KANTHA,151382,297657,449039,63,3611,1304,0,0,151382,212899,364281,31,3577,1304,10,0
GUJARAT,SURAT,158797,155542,314339,51,1878,2443,0,0,158797,145366,304163,55,1878,2144,22,0
GUJARAT,SURENDRANAGAR,83235,181248,264483,55,727,1024,0,0,70294,128222,198516,136,727,850,41,0
GUJARAT,VADODARA,140958,243750,384708,50,2929,3748,10,0,129194,120819,250013,100,2854,3233,18,0
GUJARAT,VALSAD,85274,40741,126015,131,1031,1398,0,0,109073,61209,170282,115,978,1145,6,1
HARYANA,AMBALA,43428,67548,110976,65,576,591,6,0,39530,66071,105601,66,576,591,6,0
HARYANA,BHIWANI,48947,70327,119274,50,344,587,0,0,49247,77427,126674,50,344,587,1,0
HARYANA,FARIDABAD,22254,83065,105319,76,310,640,5,1,22254,77257,99511,76,338,640,6,1
HARYANA,FATEHABAD,25642,58681,84323,80,762,460,0,0,25361,56928,82289,65,762,460,6,1
HARYANA,GURGAON,10522,51888,62410,59,492,399,0,0,14822,51951,66773,59,492,399,0,0
HARYANA,HISAR,46463,101738,148201,65,805,391,0,0,46463,101738,148201,54,830,430,9,0
HARYANA,JHAJJAR,22014,72731,94745,67,160,655,0,0,22014,72731,94745,67,160,655,5,0
HARYANA,JIND,58000,120534,178534,82,233,448,0,0,57351,118674,176025,59,248,448,7,0
HARYANA,KAITHAL,37046,46392,83438,83,253,8,0,0,36566,63545,100111,83,253,8,0,0
HARYANA,KARNAL,45973,126699,172672,76,970,582,0,0,46015,124136,170151,76,970,582,5,0
HARYANA,KURUKSHETRA,30598,67780,98378,100,563,465,0,0,30681,67807,98488,100,563,465,5,0
HARYANA,MAHENDRAGARH,17500,80000,97500,81,253,554,0,0,17500,80000,97500,81,253,554,1,0
HARYANA,MEWAT,21875,99024,120899,50,497,185,0,0,20100,47743,67843,50,497,185,5,0
HARYANA,PANCHKULA,8760,18801,27561,58,126,68,0,0,8760,18801,27561,58,126,97,3,0
HARYANA,PANIPAT,28000,39720,67720,64,182,216,0,0,28000,39720,67720,60,235,216,10,1
HARYANA,REWARI,30000,66388,96388,50,694,0,0,0,26548,64704,91252,49,696,19,5,0
HARYANA,ROHTAK,22171,79851,102022,79,156,17,0,0,22171,79851,102022,79,158,17,2,2
HARYANA,SIRSA,35400,28111,63511,50,400,354,0,0,35400,28111,63511,50,400,354,4,0
HARYANA,SONIPAT,29808,94725,124533,50,100,368,5,0,30300,134800,165100,50,100,368,5,4
HARYANA,YAMUNANAGAR,52539,84491,137030,50,1284,611,0,0,51915,84491,136406,50,1284,611,10,0
HIMACHAL PRADESH,BILASPUR,11931,38738,50669,100,957,500,6,0,13221,39436,52657,51,820,466,0,0
HIMACHAL PRADESH,CHAMBA,44429,31646,76075,50,1778,105,10,0,58422,40186,98608,50,1778,158,0,0
HIMACHAL PRADESH,HAMIRPUR,11593,45592,57185,60,1400,900,3,0,11593,45683,57276,39,1071,685,1,0
HIMACHAL PRADESH,KANGRA,45000,159201,204201,116,4000,4200,4,0,61930,269640,331570,59,2834,3953,1,0
HIMACHAL PRADESH,KINNAUR,1560,13383,14943,65,350,226,1,0,1560,13263,14823,28,272,66,0,0
HIMACHAL PRADESH,KULLU,9989,41986,51975,150,1150,956,2,0,9989,45940,55929,113,1150,942,0,0
HIMACHAL PRADESH,LAHAUL & SPITI,2413,3049,5462,4,263,112,1,0,2413,3049,5462,4,263,112,1,0
HIMACHAL PRADESH,MANDI,34407,117797,152204,100,3409,224,10,0,34408,117797,152205,125,3434,124,5,0
HIMACHAL PRADESH,SHIMLA,23874,53231,77105,70,2489,923,10,0,24194,54848,79042,70,2489,840,0,0
HIMACHAL PRADESH,SIRMAUR,13753,44978,58731,264,2804,223,6,0,13671,70126,83797,75,1852,223,6,2
HIMACHAL PRADESH,SOLAN,10858,38230,49088,225,1288,1244,4,0,10858,38230,49088,207,1288,1244,1,0
HIMACHAL PRADESH,UNA,8360,44752,53112,25,850,695,2,0,8360,44752,53112,25,850,695,5,0
JAMMU & KASHMIR,ANANTNAG,75476,18061,93537,50,1315,75,3,0,61938,19199,81137,50,1315,9,0,0
JAMMU & KASHMIR,BANDIPORA,13100,31466,44566,10,360,10,10,0,5725,0,5725,7,127,0,0,0
JAMMU & KASHMIR,BARAMULLA,68290,64211,132501,52,1164,22,8,0,31989,18302,50291,49,1164,2,0,0
JAMMU & KASHMIR,BUDGAM,47801,24580,72381,77,1296,37,6,0,21126,8500,29626,77,1176,6,0,0
JAMMU & KASHMIR,DODA,73029,25779,98808,50,4033,23,10,4,39930,8689,48619,100,2819,20,0,0
JAMMU & KASHMIR,JAMMU,50950,113373,164323,50,2607,36,6,0,16524,28035,44559,50,2165,36,2,0
JAMMU & KASHMIR,KARGIL,8475,0,8475,55,1545,10,5,0,2970,600,3570,30,706,1,0,0
JAMMU & KASHMIR,KATHUA,25978,64408,90386,60,1049,33,7,0,10098,26341,36439,53,1048,10,1,0
JAMMU & KASHMIR,KISHTWAR,22318,0,22318,10,1285,0,0,0,6754,0,6754,5,525,0,0,0
JAMMU & KASHMIR,KULGAM,11568,27306,38874,10,286,15,0,0,7078,4000,11078,10,236,15,0,0
JAMMU & KASHMIR,KUPWARA,58068,18208,76276,50,2359,105,6,0,27947,4672,32619,47,1692,13,2,0
JAMMU & KASHMIR,LEH (LADAKH),6090,0,6090,250,351,400,3,0,5296,0,5296,240,350,132,0,0
JAMMU & KASHMIR,POONCH,37764,27507,65271,82,1560,51,6,0,20072,11097,31169,80,1242,5,0,0
JAMMU & KASHMIR,PULWAMA,41902,13141,55043,64,1384,48,6,0,13933,9710,23643,64,1223,7,4,0
JAMMU & KASHMIR,RAJAURI,37507,223960,261467,12,1241,5,2,0,8664,15595,24259,12,1224,6,1,0
JAMMU & KASHMIR,RAMBAN,15926,6850,22776,34,1014,25,4,0,1986,0,1986,18,356,2,0,0
JAMMU & KASHMIR,REASI,21500,0,21500,10,854,50,4,0,4266,0,4266,12,388,8,0,0
JAMMU & KASHMIR,SAMBA,9849,0,9849,10,70,20,0,0,1100,0,1100,10,45,5,0,0
JAMMU & KASHMIR,SHOPIAN,10196,0,10196,10,300,10,2,0,2498,342,2840,16,95,0,1,0
JAMMU & KASHMIR,SRINAGAR,18434,64408,82842,78,274,70,4,0,9694,18242,27936,82,191,6,4,0
JAMMU & KASHMIR,UDHAMPUR,48850,44474,93324,56,2930,25,7,0,18322,7265,25587,43,2088,22,0,0
JHARKHAND,BOKARO,104627,102176,206803,40,1814,249,8,0,34201,5985,40186,6,1808,249,14,14
JHARKHAND,CHATRA,98223,25280,123503,50,1134,526,10,0,54229,3662,57891,19,1134,242,16,16
JHARKHAND,DEOGHAR,75153,88207,163360,50,464,1057,10,0,75153,20310,95463,1,464,869,0,15
JHARKHAND,DHANBAD,104672,89302,193974,62,2820,73,10,0,45375,15862,61237,24,2820,102,0,12
JHARKHAND,DUMKA,148732,42024,190756,50,2926,202,10,0,126910,13698,140608,0,2926,202,72,73
JHARKHAND,GARHWA,95558,69177,164735,50,1303,714,10,0,59143,3407,62550,25,1373,82,20,25
JHARKHAND,GIRIDIH,155100,44190,199290,50,2472,1762,10,0,66587,5610,72197,10,2472,368,0,13
JHARKHAND,GODDA,95732,114088,209820,50,1612,315,10,0,46333,5595,51928,14,1612,248,13,14
JHARKHAND,GUMLA,97098,101793,198891,50,1190,307,10,0,54968,6931,61899,3,1190,307,19,19
JHARKHAND,HAZARIBAGH,140453,71402,211855,105,1563,169,15,0,103890,10752,114642,29,1563,169,15,45
JHARKHAND,JAMTARA,68040,62374,130414,50,626,620,10,0,42261,3905,46166,1,626,223,0,10
JHARKHAND,KHUNTI,45773,11493,57266,12,1791,196,12,0,12590,1085,13675,0,1232,177,2,0
JHARKHAND,KODERMA,39950,37106,77056,50,472,440,10,0,20925,495,21420,0,440,317,4,12
JHARKHAND,LATEHAR,79635,14552,94187,50,2058,649,16,0,66455,5140,71595,27,2058,649,0,40
JHARKHAND,LOHARDAGA,22626,25229,47855,50,626,307,10,0,22626,16558,39184,10,626,307,0,6
JHARKHAND,PAKUR,72250,29077,101327,50,1601,685,10,0,63306,7064,70370,0,1601,202,0,52
JHARKHAND,PALAMU,91152,138623,229775,50,1927,99,10,0,69009,16560,85569,8,1928,99,13,13
JHARKHAND,PASCHIM SINGHBHUM,170083,33439,203522,50,3063,361,10,0,80833,3968,84801,38,3064,361,13,20
JHARKHAND,PURBI SINGHBHUM,97196,119789,216985,52,2248,337,10,0,126967,20358,147325,3,2248,337,0,21
JHARKHAND,RAMGARH,48992,16857,65849,40,670,40,8,0,18826,1018,19844,1,512,40,0,0
JHARKHAND,RANCHI,197639,41036,238675,42,5900,1032,10,0,127487,14105,141592,28,3203,607,10,50
JHARKHAND,SAHIBGANJ,112798,12484,125282,50,1238,800,10,0,65730,11635,77365,23,1238,800,8,8
JHARKHAND,SERAIKELA KHARSAWAN,105319,62645,167964,50,1752,357,10,0,42981,5332,48313,0,1752,357,2,25
JHARKHAND,SIMDEGA,60505,49846,110351,50,1417,175,10,0,19152,2053,21205,0,1417,175,13,13
KARNATAKA,BAGALKOT,74926,175385,250311,58,745,1118,10,0,69007,142154,211161,48,995,1172,7,0
KARNATAKA,BANGALORE RURAL,63044,39979,103023,10,1420,414,5,0,87975,69207,157182,12,2706,915,0,0
KARNATAKA,BANGALORE URBAN,71892,28299,100191,50,86,454,10,0,41591,27415,69006,32,86,454,0,0
KARNATAKA,BELGAUM,196594,501172,697766,50,3290,1962,10,0,140880,318912,459792,50,3380,2023,1,0
KARNATAKA,BELLARY,100252,85854,186106,93,859,582,2,0,69004,45427,114431,100,1071,818,0,0
KARNATAKA,BIDAR,58384,125768,184152,51,1426,1165,10,0,36982,68834,105816,12,1426,1165,1,1
KARNATAKA,BIJAPUR,127172,108608,235780,50,2129,1793,10,0,57180,56205,113385,24,2129,585,4,1
KARNATAKA,CHAMARAJANAGAR,110188,28797,138985,50,369,1269,10,0,69401,21465,90866,19,288,938,8,1
KARNATAKA,CHICKMAGALUR,67568,70603,138171,35,1852,764,10,0,65463,82048,147511,9,1852,776,10,1
KARNATAKA,CHIKBALLAPUR,89907,36479,126386,12,941,42,6,0,64591,34973,99564,10,1569,1052,3,0
KARNATAKA,CHITRADURGA,75400,130585,205985,50,1422,1021,22,6,74510,59511,134021,50,1452,1166,6,2
KARNATAKA,DAVANGERE,122530,129754,252284,50,1385,972,10,0,91857,118431,210288,50,1326,972,10,0
KARNATAKA,DHARWAD,53596,60267,113863,25,930,1051,10,0,50223,49543,99766,21,769,628,5,0
KARNATAKA,GADAG,46821,39520,86341,50,291,431,10,0,40119,28708,68827,40,484,431,5,0
KARNATAKA,GULBARGA,269726,172264,441990,50,4024,2232,10,0,163238,49472,212710,27,4024,2228,100,0
KARNATAKA,HASSAN,64134,216283,280417,50,1902,1173,10,0,64134,206238,270372,35,1914,1217,8,0
KARNATAKA,HAVERI,98436,57875,156311,53,818,785,10,0,66161,43515,109676,42,818,747,7,1
KARNATAKA,KODAGU,38838,18095,56933,50,179,287,9,0,38838,18095,56933,39,180,292,1,0
KARNATAKA,KOLAR,43183,83210,126393,12,981,64,5,0,86051,96356,182407,3,1630,2331,0,0
KARNATAKA,KOPPAL,60869,177618,238487,50,870,987,3,0,53660,103645,157305,50,902,787,2,1
KARNATAKA,MANDYA,128782,148152,276934,50,1631,914,10,0,117050,142902,259952,25,1631,914,10,0
KARNATAKA,MANGALORE(DAKSHINA KANNADA),59478,35532,95010,70,1236,505,15,0,59478,35532,95010,70,1236,505,0,0
KARNATAKA,MYSORE,160601,42639,203240,54,1059,656,20,0,112765,96556,209321,10,2482,931,2,2
KARNATAKA,RAICHUR,104887,120627,225514,52,1464,230,10,0,36429,23008,59437,49,1464,557,10,4
KARNATAKA,RAMANAGARA,41876,58807,100683,10,1186,501,0,0,37691,40368,78059,10,1187,501,0,0
KARNATAKA,SHIMOGA,99428,40151,139579,50,1616,986,23,0,99996,45802,145798,40,1276,1030,7,1
KARNATAKA,TUMKUR,242872,137654,380526,50,2242,1845,10,0,149410,117829,267239,40,2762,2023,2,0
KARNATAKA,UDUPI,52348,34286,86634,20,618,431,10,0,52421,34313,86734,16,519,425,0,0
KARNATAKA,UTTAR KANNADA,165492,77428,242920,50,2296,1719,10,0,120720,66599,187319,47,2314,1280,10,0
KERALA,ALAPPUZHA,114359,2189,116548,107,166,246,10,0,114359,4500,118859,107,166,246,10,10
KERALA,ERNAKULAM,54585,16069,70654,62,365,394,9,0,55916,16219,72135,62,365,394,7,2
KERALA,IDUKKI,86535,11880,98415,51,116,188,4,0,89553,13823,103376,76,156,248,0,0
KERALA,KANNUR,34121,0,34121,56,168,350,5,0,37628,18269,55897,40,174,374,3,3
KERALA,KASARGOD,56965,23300,80265,57,281,382,4,0,59153,23300,82453,36,281,382,1,0
KERALA,KOLLAM,95130,7290,102420,400,410,351,10,0,95130,7290,102420,400,422,352,6,6
KERALA,KOTTAYAM,28118,1646,29764,40,182,133,5,0,28118,1840,29958,40,182,133,0,0
KERALA,KOZHIKODE,42285,2086,44371,30,253,250,7,0,42285,2140,44425,19,253,250,2,0
KERALA,MALAPPURAM,60592,3996,64588,55,448,272,10,0,61905,7850,69755,34,466,272,14,1
KERALA,PALAKKAD,107018,24424,131442,49,289,520,7,0,107018,24424,131442,49,289,520,6,0
KERALA,PATHANAMTHITTA,53799,1200,54999,25,172,121,5,0,53799,1200,54999,25,172,121,0,0
KERALA,THIRUVANANTHAPURAM,129000,9482,138482,58,350,817,10,0,137004,12496,149500,70,383,817,10,0
KERALA,THRISSUR,48669,5868,54537,59,316,839,9,0,51017,7051,58068,48,316,839,5,2
KERALA,WAYANAD,50655,2481,53136,41,84,94,3,0,50655,2481,53136,41,84,94,3,0
MADHYA PRADESH,ALIRAJPUR,38225,37210,75435,9,2140,586,9,1,52971,50259,103230,8,3067,751,6,0
MADHYA PRADESH,ANUPPUR,39615,72695,112310,26,1984,1007,4,0,55873,67074,122947,34,2382,1007,4,0
MADHYA PRADESH,ASHOKNAGAR,54450,51854,106304,0,2362,130,0,0,29526,43512,73038,0,2690,180,0,0
MADHYA PRADESH,BALAGHAT,171243,105357,276600,54,2852,1989,7,1,136631,98826,235457,45,3056,1670,8,1
MADHYA PRADESH,BARWANI,75695,49508,125203,41,2666,1846,6,1,85654,50742,136396,9,3223,1169,6,1
MADHYA PRADESH,BETUL,43427,117664,161091,38,2412,455,10,0,44059,68628,112687,28,2677,512,2,1
MADHYA PRADESH,BHIND,42573,148810,191383,31,2460,160,5,1,21319,29042,50361,14,2771,113,0,0
MADHYA PRADESH,BHOPAL,20010,39539,59549,20,589,165,4,0,34907,37373,72280,2,593,138,2,0
MADHYA PRADESH,BURHANPUR,41047,48092,89139,18,971,349,0,0,45079,43330,88409,31,818,155,4,0
MADHYA PRADESH,CHHATARPUR,74861,165480,240341,62,3068,240,4,1,43847,51043,94890,25,3744,253,4,4
MADHYA PRADESH,CHHINDWARA,116436,186478,302914,50,6107,418,10,0,70656,106921,177577,47,6198,418,4,0
MADHYA PRADESH,DAMOH,99131,78822,177953,50,1944,158,6,1,67861,25784,93645,21,2860,83,7,1
MADHYA PRADESH,DATIA,11997,35651,47648,30,2155,70,2,1,18549,35048,53597,2,1488,93,1,2
MADHYA PRADESH,DEWAS,59245,106423,165668,50,1927,25,9,1,80182,96062,176244,42,2316,29,4,0
MADHYA PRADESH,DHAR,100281,98820,199101,52,3503,490,9,1,119944,153500,273444,18,3626,620,9,0
MADHYA PRADESH,DINDORI,63701,63086,126787,12,1708,750,6,1,61360,54736,116096,10,1958,750,7,1
MADHYA PRADESH,GUNA,53901,60419,114320,10,3664,86,9,1,43510,54341,97851,10,2476,143,5,1
MADHYA PRADESH,GWALIOR,32128,111287,143415,53,1897,142,4,0,39292,75834,115126,23,2260,142,2,0
MADHYA PRADESH,HARDA,23589,46014,69603,5,1742,223,3,1,31858,38625,70483,5,921,285,2,0
MADHYA PRADESH,HOSHANGABAD,50677,76631,127308,78,1686,725,10,0,83469,70611,154080,40,2244,725,7,0
MADHYA PRADESH,INDORE,48998,114548,163546,20,1502,721,10,0,50431,114860,165291,20,1950,831,24,0
MADHYA PRADESH,JABALPUR,106290,88024,194314,44,2240,260,9,1,117944,79784,197728,44,3155,347,13,0
MADHYA PRADESH,JHABUA,81491,32863,114354,9,2140,586,9,1,94747,83387,178134,12,4485,804,12,0
MADHYA PRADESH,KATNI,53000,117095,170095,15,2079,921,5,1,68737,68602,137339,11,2079,770,2,0
MADHYA PRADESH,KHANDWA(EAST NIMAR),60123,58327,118450,40,2960,1375,8,0,82792,79489,162281,6,2373,1229,8,7
MADHYA PRADESH,KHARGONE,91083,152741,243824,50,3498,687,9,1,93241,155299,248540,31,3498,687,4,0
MADHYA PRADESH,MANDLA,98650,73826,172476,0,3064,176,10,0,83735,42642,126377,2,2105,406,3,0
MADHYA PRADESH,MANDSAUR,46666,119498,166164,50,1092,341,10,0,68013,117833,185846,46,1668,430,10,0
MADHYA PRADESH,MORENA,32478,169027,201505,50,2151,142,6,1,39914,96584,136498,37,3090,136,7,0
MADHYA PRADESH,NARSINGHPUR,67857,58600,126457,78,1720,913,6,0,66894,56593,123487,52,2207,913,6,0
MADHYA PRADESH,NEEMUCH,27790,86180,113970,39,1412,103,9,1,42857,82827,125684,33,1697,165,2,1
MADHYA PRADESH,PANNA,72600,186451,259051,15,9254,117,9,1,56548,48946,105494,10,2782,117,4,0
MADHYA PRADESH,RAISEN,88825,86117,174942,27,3000,869,10,0,102867,81191,184058,36,3274,876,10,0
MADHYA PRADESH,RAJGARH,94365,80166,174531,44,3206,244,10,0,116246,65909,182155,43,3622,244,33,0
MADHYA PRADESH,RATLAM,51248,88719,139967,24,1392,158,5,1,64627,82493,147120,10,2029,158,11,2
MADHYA PRADESH,REWA,121538,197742,319280,9,8902,2153,10,0,148894,122110,271004,18,6928,211,9,0
MADHYA PRADESH,SAGAR,208079,137113,345192,22,3749,139,10,1,120671,91401,212072,22,5317,302,10,2
