State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
UTTAR PRADESH,37,JYOTIBA PHULE NAGAR,2206.61,1481.39,532.54,192.68,1631.47,911.9,224.78,2768.14,1654.02,882.31,171.73,2708.06,48008,113276,161284,0,2389,1032,0,0,48008,104639,152647,0,2290,1032,2,1,1026.34,1844.79,100,465.96,357.26,76.67,53.53,49.75,92.94,0,0,0,5664,0,42341,3,11.8,546,0,2756,1546,29,14,234453,54799
UTTAR PRADESH,38,KANNAUJ,3765.71,2476.18,892.05,397.48,2494.06,1027.69,331.57,3853.32,2473.64,982.04,293.13,3748.81,101497,280737,382234,46,2388,1440,6,1,101616,201515,303131,46,2373,1440,2,1,2139.54,2680.87,100,448.86,373.6,83.23,90.05,90.04,99.99,86,92,100,42143,55,62045,915,40.15,688,0,5800,611,146,397,232517,25668
UTTAR PRADESH,39,KANPUR DEHAT,3555.9,2228.11,875.53,452.26,2629.22,1957.65,699.72,5286.59,2654.83,1508.22,603.72,4766.77,126650,117438,244088,60,3536,1149,10,0,121414,86598,208012,60,3536,1149,5,5,2173.59,3415.21,100,598.37,598.37,100,57.46,57.5,100,120,188.86,100,44621,0,80301,1375,34.91,1129,0,2159,1013,146,365,299000,40789
UTTAR PRADESH,40,KANPUR NAGAR,3592.47,2364.91,879.54,348.02,2430.2,673.9,339.17,3443.27,2126.8,540.96,276.27,2944.03,87235,128893,216128,50,3763,1806,10,0,81750,112914,194664,50,3310,1784,5,0,1596.58,1827.93,100,703.95,439.91,62.49,105.3,87.51,83.11,100.02,100,99.98,22822,0,61706,0,27,503,0,0,0,0,0,291529,41237
UTTAR PRADESH,41,KANSHIRAM NAGAR,2960.41,1935.18,822.31,202.92,578.14,244.49,50.15,872.78,722.37,241.91,50.15,1014.44,49298,91499,140797,14,2777,989,7,0,18037,13001,31038,0,2777,989,0,0,1429.66,805.78,56.36,972.06,82.8,8.52,79.13,31.2,39.43,28,0,0,12888,0,5289,1678,63.6,1555,0,3098,1246,178,314,190576,14294
UTTAR PRADESH,42,KAUSHAMBI,4202.04,2720.85,1015.58,465.61,2748.82,1482.36,1081.56,5312.74,2476.43,1440.67,549.74,4466.84,127875,147350,275225,24,2048,968,3,1,123820,85976,209796,24,2048,785,3,0,2905.25,3731.23,100,409.6,421.4,100,53.89,38.35,71.16,48,48,100,65640,0,60750,0,51.93,2729,0,2609,1588,581,724,254926,28865
UTTAR PRADESH,43,KUSHINAGAR,10579.4,6941.7,2545.43,1092.27,6795.88,2826.43,903.08,10525.39,6366.62,2446.59,900.76,9713.97,287089,160033,447122,25,5120,2133,3,0,236062,146654,382716,25,4168,2133,1,0,7048.64,8500.95,100,1006.2,673.3,66.92,106.66,106.66,100,50,50,100,91088,0,147739,612,35.82,429,0,468,289,265,265,506922,41822
UTTAR PRADESH,44,LAKHIMPUR KHERI,4788.06,3240.9,1222.4,324.76,3304.48,2335.6,394.71,6034.79,2867.43,2271.7,285.71,5424.84,73000,124463,197463,20,8355,1930,10,0,95742,124463,220205,20,5144,1930,5,0,1005.96,4450.08,100,2183.1,650.54,29.8,134.91,65.42,48.49,40,40,100,59484,8865,38840,250,63.61,1657,273,3540,637,60,453,630131,79935
UTTAR PRADESH,45,LALITPUR,2768.5,1794.57,658.74,315.19,1828.02,1115.68,240.3,3184,1404.72,909.09,240.3,2554.11,90107,47239,137346,6,2468,568,2,0,89046,38393,127439,6,2468,568,0,0,1776.5,2024.88,100,415.92,409.59,98.48,30.93,28.91,93.47,12,12,100,37578,225,47423,0,42.45,98,0,112,121,0,138,186503,15235
UTTAR PRADESH,46,LUCKNOW,3995.15,2667.93,948.14,379.08,2697.99,1777.33,148.03,4623.35,2239.8,1555.67,142.1,3937.57,113188,137908,251096,25,2510,1591,10,0,113188,112396,225584,25,3121,1273,10,10,2054.86,2635.15,100,607.27,512.59,84.41,94.47,74.55,78.91,50,50,100,45753,0,69629,0,39.65,762,0,0,0,0,0,274212,40561
