State_Name,District_Name,Census_2001_Total_Rural_Households,Census_2011_Total_Rural_Households,Census_2001_IHHL,Census_2011_IHHL,C2011/TRH2011-C2001/TRH2001
MADHYA PRADESH,MANDLA,173559,220889,10002,14796,0.009355052
MADHYA PRADESH,MANDSAUR,175866,229006,16744,30478,0.037879364
MADHYA PRADESH,MORENA,188039,286015,13468,19249,-0.004322774
MADHYA PRADESH,NARSINGHPUR,151741,204994,32783,56433,0.059245222
MADHYA PRADESH,NEEMUCH,100540,129968,8478,17121,0.04740778
MADHYA PRADESH,PANNA,152624,209035,8454,10556,-0.004892306
MADHYA PRADESH,RAISEN,161803,214616,26762,39752,0.019825178
MADHYA PRADESH,RAJGARH,180708,289795,13717,22696,0.002410443
MADHYA PRADESH,RATLAM,152614,211063,14035,28302,0.042128624
MADHYA PRADESH,REWA,321789,467403,13878,83018,0.134487823
MADHYA PRADESH,SAGAR,273645,376804,20136,42181,0.038359752
MADHYA PRADESH,SATNA,284031,390426,13941,89208,0.179406211
MADHYA PRADESH,SEHORE,150511,206935,24996,44898,0.05089244
MADHYA PRADESH,SEONI,211177,277982,18654,42174,0.063381376
MADHYA PRADESH,SHAHDOL,249682,204690,9879,15485,0.036084656
MADHYA PRADESH,SHAJAPUR,179240,243638,16149,32561,0.043547921
MADHYA PRADESH,SHEOPUR,83231,124647,4068,7203,0.008911171
MADHYA PRADESH,SHIVPURI,205412,303041,13904,17084,-0.011313143
MADHYA PRADESH,SIDHI,287967,220630,6990,9083,0.016894857
MADHYA PRADESH,SINGRAULI,N/A,193734,0,4184,N/A
MADHYA PRADESH,TIKAMGARH,179853,253752,8958,9966,-0.010532775
MADHYA PRADESH,UJJAIN,179500,237288,19604,42368,0.069336474
MADHYA PRADESH,UMARIA,89667,121448,7356,7093,-0.023633273
MADHYA PRADESH,VIDISHA,166072,231876,14105,26654,0.030016328
MAHARASHTRA,AHMEDNAGAR,594446,717718,81766,280537,0.253323654
MAHARASHTRA,AKOLA,202186,247752,49088,76633,0.066527
MAHARASHTRA,AMRAVATI,350653,424563,112012,174645,0.091914074
MAHARASHTRA,AURANGABAD,334823,419120,46060,82852,0.060115634
MAHARASHTRA,BEED,365245,446114,31290,68597,0.068097106
MAHARASHTRA,BHANDARA,204664,223299,58799,124493,0.270221777
MAHARASHTRA,BULDHANA,358540,445247,59604,129428,0.124447224
MAHARASHTRA,CHANDRAPUR,310960,352643,63537,102534,0.086433327
MAHARASHTRA,DHULE,252920,298915,31963,55870,0.060533393
MAHARASHTRA,GADCHIROLI,191194,218935,30696,48581,0.061347939
MAHARASHTRA,GONDIA,222567,241802,45747,114972,0.269937337
MAHARASHTRA,HINGOLI,156346,195143,14517,52497,0.176166353
MAHARASHTRA,JALGAON,535894,618314,89881,139685,0.058191122
MAHARASHTRA,JALNA,253425,318563,25387,93044,0.191898501
MAHARASHTRA,KOLHAPUR,481907,556628,142832,414284,0.447885315
MAHARASHTRA,LATUR,294115,359858,39969,89416,0.112579965
MAHARASHTRA,NAGPUR,294317,324568,78345,149493,0.194398118
MAHARASHTRA,NANDED,410545,487624,52872,93762,0.063498491
MAHARASHTRA,NANDURBAR,215455,270533,32263,60391,0.073486132
MAHARASHTRA,NASHIK,529715,661977,68092,193783,0.164189141
MAHARASHTRA,OSMANABAD,252083,294816,47957,65408,0.031617518
MAHARASHTRA,PARBHANI,203565,256063,25304,34136,0.009006667
MAHARASHTRA,PUNE,566560,744114,105101,459543,0.432063423
MAHARASHTRA,RAIGAD,358745,376520,81431,191750,0.282280566
MAHARASHTRA,RATNAGIRI,328530,333645,76671,224155,0.438460885
MAHARASHTRA,SANGLI,372537,432579,89748,261623,0.3638879
MAHARASHTRA,SATARA,471973,518187,89412,363338,0.511728545
MAHARASHTRA,SINDHUDURG,172134,180494,47963,134314,0.465509047
MAHARASHTRA,SOLAPUR,490987,583706,45738,187414,0.227920805
MAHARASHTRA,THANE,428096,526397,86671,208969,0.19452292
MAHARASHTRA,WARDHA,193846,210284,62711,99199,0.148228837
MAHARASHTRA,WASHIM,172664,217490,20757,59916,0.155272386
MAHARASHTRA,YAVATMAL,421986,513041,67752,111592,0.056955792
MANIPUR,BISHNUPUR,22484,28147,20490,25640,-0.000382819
MANIPUR,CHANDEL,17304,25860,11045,19929,0.132357928
MANIPUR,CHURACHANDPUR,38525,46647,27188,38408,0.117652009
MANIPUR,IMPHAL EAST,50149,54014,44111,49105,0.029517359
MANIPUR,IMPHAL WEST,34666,41512,32185,38200,-0.008215475
MANIPUR,SENAPATI,51423,32968,31432,28503,0.253321644
MANIPUR,TAMENGLONG,15691,21069,7862,13990,0.162957175
MANIPUR,THOUBAL,43573,54653,40269,50106,-0.007370855
MANIPUR,UKHRUL,22539,30882,15080,24832,0.135030485
MEGHALAYA,EAST GARO HILLS,38572,49612,27687,39362,0.075596282
MEGHALAYA,EAST KHASI HILLS,68769,84694,20772,37535,0.141128992
MEGHALAYA,JAINTIA HILLS,46003,59681,12228,26002,0.169874297
MEGHALAYA,RI BHOI,32264,41925,18085,26883,0.080684596
MEGHALAYA,SOUTH GARO HILLS,15860,21836,7482,13842,0.162154472
MEGHALAYA,WEST GARO HILLS,84481,107941,36004,60807,0.137156858
MEGHALAYA,WEST KHASI HILLS,43729,56508,9941,23056,0.180681048
MIZORAM,AIZAWL,14002,17157,12985,16708,0.046462405
MIZORAM,CHAMPHAI,12138,15604,10398,14815,0.0927875
MIZORAM,KOLASIB,5497,7664,4897,7332,0.06583103
MIZORAM,LAWNGTLAI,12451,19039,8901,11518,-0.10991359
MIZORAM,LUNGLEI,13961,18748,10125,15092,0.07975795
MIZORAM,MAMIT,9274,14048,6105,11668,0.172288866
MIZORAM,SAIHA,7167,6305,5565,5483,0.093151767
MIZORAM,SERCHHIP,4872,6309,4309,6082,0.079577947
NAGALAND,DIMAPUR,34480,36034,29324,33004,0.065448712
NAGALAND,KIPHIRE,N/A,13400,0,4911,N/A
NAGALAND,KOHIMA,41326,26421,20299,13779,0.030324989
NAGALAND,LONGLENG,N/A,9896,0,6826,N/A
NAGALAND,MOKOKCHUNG,31088,30016,30035,28908,-0.003042056
NAGALAND,MON,31304,35804,25306,22444,-0.181537759
NAGALAND,PEREN,N/A,15850,0,12226,N/A
NAGALAND,PHEK,N/A,32889,0,24807,N/A
NAGALAND,TUENSANG,56901,32185,28042,16043,0.005641152
NAGALAND,WOKHA,20712,27028,10221,16075,0.101271549
NAGALAND,ZUNHEBOTO,23499,25388,11620,18200,0.222384987
