State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,680.65,121.83,0.00,802.48,585.95,47.84,0.00,633.79,22036,0,22036,30,684,164,0,0,11671,0,11671,3,684,164,0,0,819.12,335.23,40.93,196.56,151.80,77.23,8.20,8.20,100,60.00,10.80,18.00,0,783,0,0,6.71,0,0,0,0,0,0,15417,2698
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.60,228.44,82.12,30.60,341.16,235.61,58.38,23.92,317.91,8800,0,8800,26,240,182,0,0,8560,1129,9689,25,240,182,1,0,145.53,156.29,100.00,48.00,48.00,100,9.90,9.26,93.54,52.00,41.89,80.56,0,8560,0,0,100.00,0,0,0,0,0,0,22412,8180
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.40,7.24,71.37,43.78,5.14,120.29,64.01,23.66,4.50,92.17,2366,1200,3566,0,134,82,0,0,1521,1200,2721,0,134,82,0,0,50.92,44.76,87.90,28.66,27.65,96.48,4.50,4.86,100.00,0.00,0.00,0.00,0,1521,0,0,100.00,0,0,0,0,0,0,8626,0
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,362.98,250.78,83.68,28.52,226.68,110.04,27.68,364.40,230.90,108.77,27.68,367.35,5766,1164,6930,26,232,119,3,0,5451,1164,6615,26,232,119,3,0,189.29,217.29,100.00,46.40,46.40,100,5.96,5.26,88.26,52.00,51.90,99.81,0,5451,0,0,100.00,0,0,0,0,0,0,12066,8616
ARUNACHAL PRADESH,10,PAPUM PARE,150.10,102.86,37.79,9.45,98.93,69.45,0.00,168.38,123.66,54.16,0.00,177.82,1268,3778,5046,17,140,113,8,0,267,3778,4045,3,140,113,0,0,44.04,30.14,68.44,28.00,58.92,100.00,5.66,15.80,100.00,34.00,3.60,10.59,0,267,0,0,100.00,0,3778,0,0,0,0,13537,6114
ARUNACHAL PRADESH,11,TAWANG,321.84,224.27,72.34,25.23,194.63,66.64,12.45,273.72,176.09,45.64,11.27,233.00,5478,1210,6688,21,156,91,4,0,4191,1210,5401,13,156,75,1,0,178.79,133.40,74.61,31.20,31.00,99.36,5.36,4.75,88.62,42.00,28.00,66.67,0,4191,0,0,100.00,0,1210,0,0,0,0,7891,5557
ARUNACHAL PRADESH,12,TIRAP,403.07,280.89,95.66,26.52,243.67,74.48,17.42,335.57,269.15,60.88,17.42,347.45,5780,470,6250,25,304,150,6,0,10067,470,10537,25,334,201,0,0,196.44,213.99,100.00,60.80,65.40,100.00,7.50,9.96,100.00,50.00,31.66,63.32,0,10067,0,0,100.00,0,0,0,0,0,0,15458,6355
ARUNACHAL PRADESH,13,UPPER SIANG,200.81,139.74,47.07,14.00,127.64,53.12,15.07,195.83,128.50,52.51,15.01,196.01,2634,964,3598,15,154,50,4,0,2576,964,3540,15,154,50,0,0,94.52,114.17,100.00,30.80,30.90,100.00,2.50,1.16,46.40,30.00,28.00,93.33,0,2576,0,0,100.00,0,964,0,0,0,0,5652,1899
ARUNACHAL PRADESH,14,UPPER SUBANSIRI,467.27,323.21,108.07,35.99,298.30,121.83,20.23,440.36,279.11,99.11,20.23,398.45,9045,461,9506,25,154,221,3,0,7123,461,7584,5,156,200,0,0,268.99,295.96,100.00,30.80,32.14,100.00,21.32,19.70,92.40,50.00,10.00,20.0,0,7123,0,0,100.00,0,0,0,0,0,0,12952,4116
ARUNACHAL PRADESH,15,WEST KAMENG,387.30,269.67,91.67,25.96,251.78,89.89,12.14,353.81,234.18,48.82,12.14,295.14,5644,252,5896,25,306,111,4,0,3744,252,3996,22,306,111,0,0,185.94,153.07,82.32,61.20,61.20,100,5.56,5.55,99.82,50.00,31.20,62.40,0,3744,0,0,100.00,0,0,0,0,0,0,12542,5055
ARUNACHAL PRADESH,16,WEST SIANG,625.32,432.02,144.22,49.08,326.09,116.73,13.37,456.19,319.74,99.63,13.37,432.74,11472,0,11472,25,378,2,0,0,7130,84,7214,7,378,20,0,0,373.63,250.05,66.92,75.60,106.29,100.00,0.10,4.24,100.00,50.00,9.40,18.80,0,7130,0,0,100.00,0,84,0,0,0,0,15387,9985
