Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC
03-12-2012,ORISSA,2,BALANGIR,13-02-2003,Oct-12,199853,142381,342234,28,2400,915,10,0,117968,23986,141954,4,2400,915,6,7
03-12-2012,ORISSA,3,BALESWAR,28-03-2000,Nov-12,281636,102367,384003,48,3787,1849,10,0,251378,99600,350978,16,3949,1849,37,48
03-12-2012,ORISSA,4,BARGARH,27-12-2004,Oct-12,175810,140072,315882,0,2393,361,10,0,120324,71983,192307,0,2443,388,0,4
03-12-2012,ORISSA,5,BHADRAK,18-09-2001,Nov-12,136849,81632,218481,0,1855,1190,8,0,86268,44397,130665,0,1833,1109,0,75
03-12-2012,ORISSA,6,BOUDH,27-12-2004,Oct-12,71702,20970,92672,3,1033,258,10,0,41360,9583,50943,0,1015,258,9,1
03-12-2012,ORISSA,7,CUTTACK,01-05-2002,Oct-12,178679,186195,364874,50,2426,42,10,0,124053,102940,226993,14,2472,155,0,120
03-12-2012,ORISSA,8,DEBAGARH,27-12-2004,Oct-12,42977,19981,62958,20,620,190,10,0,26814,13355,40169,0,649,221,0,6
03-12-2012,ORISSA,9,DHENKANAL,27-12-2004,Nov-12,125111,65196,190307,32,2065,690,10,0,71482,26923,98405,3,2065,684,30,30
03-12-2012,ORISSA,10,GAJAPATI,24-09-2004,Oct-12,68154,42038,110192,14,1438,630,10,0,34945,9517,44462,0,1293,610,0,35
03-12-2012,ORISSA,11,GANJAM,28-03-2000,Oct-12,270886,180430,451316,20,4235,2505,10,0,174363,103218,277581,11,4203,2445,72,93
03-12-2012,ORISSA,12,JAGATSINGHAPUR,13-02-2003,Oct-12,95623,116710,212333,16,2434,955,10,0,91572,87295,178867,8,2434,955,10,16
03-12-2012,ORISSA,13,JAJAPUR,01-05-2002,Nov-12,162500,191899,354399,50,3414,1355,10,0,87423,114302,201725,0,3414,1355,0,101
03-12-2012,ORISSA,14,JHARSUGUDA,27-12-2004,Oct-12,33172,34757,67929,30,811,433,10,0,23459,13210,36669,2,811,433,0,16
03-12-2012,ORISSA,15,KALAHANDI,24-09-2004,Oct-12,190958,105415,296373,50,2330,676,10,0,95838,62455,158293,0,2330,676,0,50
