Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total
3/15/2013,ASSAM,2,BARPETA,17-05-2005,13-Feb,6162.6,4361.74,1348.62,452.24,3415.24,661.11,255.29,4331.64,3263.23,505.57,255.29,4024.08
3/15/2013,ASSAM,3,BONGAIGAON,31-07-2006,13-Feb,2773.12,1950.68,635.65,186.79,284.98,314.11,15.44,614.53,121.11,292.44,15.44,428.99
3/15/2013,ASSAM,4,CACHAR,18-09-2001,13-Feb,4741.34,3346.64,1045.87,348.83,2700.62,578.47,294.62,3573.71,2217.2,578.47,269.02,3064.7
3/15/2013,ASSAM,5,CHIRANG,15-01-2008,13-Feb,1522.06,1074.34,340.85,106.87,849.14,193,30.1,1072.24,655.57,171.2,29.38,856.15
3/15/2013,ASSAM,6,DARRANG,21-06-2007,13-Feb,3824.75,2681.62,848.25,294.88,1352.86,395.94,136.5,1885.3,1210.03,381.4,136.5,1727.93
3/15/2013,ASSAM,7,DHEMAJI,17-05-2005,13-Feb,3228.33,2284.89,697.63,245.81,1843.2,353.63,45,2241.83,1782.19,353.63,45,2180.82
3/15/2013,ASSAM,8,DHUBRI,18-09-2001,13-Feb,8964.87,6264.78,1985.57,714.52,2994.08,949.9,366.8,4310.77,3123.85,609.9,350.32,4084.07
3/15/2013,ASSAM,9,DIBRUGARH,14-01-2004,13-Feb,3021.96,2136.12,653.02,232.82,1848.81,350.57,16.06,2215.44,1735.69,350.52,11.73,2097.94
3/15/2013,ASSAM,10,GOALPARA,18-09-2001,13-Feb,2837.73,2002.27,645.89,189.57,1734.01,376.47,15.57,2126.05,1382.21,375.62,13.9,1771.73
3/15/2013,ASSAM,11,GOLAGHAT,17-05-2005,13-Feb,3133.34,2179.53,676.25,277.56,1881.09,400.98,96.93,2379,1921.6,400.98,96.42,2419
3/15/2013,ASSAM,12,HAILAKANDI,14-01-2004,13-Feb,1737.93,1215.24,379.49,143.2,1061.9,248.95,124.12,1434.97,1061.35,248.95,124.02,1434.32
3/15/2013,ASSAM,13,JORHAT,7/2/2000,13-Feb,3071.84,2172.7,709.72,189.42,1499.57,376.48,105.65,1981.69,1456.96,376.48,101.77,1935.21
3/15/2013,ASSAM,14,KAMRUP,7/2/2000,13-Feb,3018.34,2129.06,644.75,244.53,1854.19,366.25,237.69,2458.14,1854.64,366.21,192.87,2413.71
3/15/2013,ASSAM,15,KARBI ANGLONG,18-09-2001,13-Feb,3832.82,2713.59,935.24,183.99,594.72,51.12,42.18,688.02,622.59,50.97,15.22,688.78
3/15/2013,ASSAM,16,KARIMGANJ,18-09-2001,13-Feb,2672.51,1865.25,586.72,220.54,1601.89,343.3,244.49,2189.68,1226.58,343.3,244.49,1814.36
3/15/2013,ASSAM,17,KOKRAJHAR,11/3/2005,13-Feb,2979.14,2075.89,638.56,264.69,1800.91,394.05,117.58,2312.54,1766.39,390.49,79.37,2236.26
3/15/2013,ASSAM,18,LAKHIMPUR,14-01-2004,13-Feb,3024.58,2138.81,646.27,239.5,1882.99,393.74,101.48,2378.2,1519.82,371.49,101.48,1992.79
3/15/2013,ASSAM,19,MARIGAON,18-09-2001,13-Feb,1802.88,1249.95,375.72,177.21,1110.14,217.59,144.68,1472.41,1110.01,217.59,142.38,1469.98
3/15/2013,ASSAM,20,NAGAON,15-07-2005,13-Feb,7161.99,5052.42,1594.4,515.17,3932.47,758,481.7,5172.17,3880.3,756.03,378.69,5015.02
3/15/2013,ASSAM,21,NALBARI,18-09-2001,13-Feb,3139.74,2195.41,676.86,267.47,1538.5,337.55,78.35,1954.4,862.63,237.55,78.35,1178.53
3/15/2013,ASSAM,22,NORTH CACHAR HILLS,31-07-2006,12-Aug,1293,913.76,305.08,74.16,110.13,0,16.19,126.32,103.5,0,16.19,119.69
3/15/2013,ASSAM,23,SIBSAGAR,18-03-2002,13-Feb,3209.83,2259.72,729.12,220.99,1950.28,449.78,36.61,2436.67,1726.02,449.78,36.57,2212.37
3/15/2013,ASSAM,24,SONITPUR,7/2/2000,13-Feb,4851,3387.94,1094.71,368.35,2852.46,538.3,242.5,3633.26,2936.3,537.95,242.5,3716.75
3/15/2013,ASSAM,25,TINSUKIA,17-05-2005,13-Feb,2840.31,1984.83,619.16,236.32,1405.11,394.31,22.5,1821.92,978.34,370.54,21.38,1370.26
3/15/2013,ASSAM,26,UDALGURI,15-01-2008,13-Feb,4038.66,2841.7,903.71,293.25,1979.49,459.95,140.33,2579.77,1559.46,427.72,140.33,2127.51
3/15/2013,ASSAM,,Total :-,,,92814.8,65248.07,20582.96,6983.77,46448.63,10387.55,3616.35,60452.53,42348.94,9615.06,3346.61,55310.6
3/15/2013,BIHAR,1,ARARIA,12/3/2003,13-Feb,4630.29,3129.75,1116.55,383.99,1562.53,435.93,109.25,2107.71,953.88,422.92,85.25,1462.04
3/15/2013,BIHAR,2,ARWAL,20-02-2006,13-Feb,2565.43,1738.33,620.08,207.02,904.46,276.6,0,1181.06,708.45,261.67,0,970.13
3/15/2013,BIHAR,3,AURANGABAD,23-11-2005,13-Feb,7219.24,4914.68,1790.05,514.51,2431.36,574.72,68.26,3074.34,1430.9,539.36,68.26,2038.52
3/15/2013,BIHAR,4,BANKA,22-03-2001,13-Feb,4127.69,2814.26,1004.28,309.15,1432.13,670.14,360.35,2462.62,906.31,529.49,288.32,1724.12
3/15/2013,BIHAR,5,BEGUSARAI,18-03-2002,13-Feb,7272.2,4860.75,1707.05,704.4,3870.43,1136.6,137.41,5144.44,2989.84,938.05,136.77,4064.67
3/15/2013,BIHAR,6,BHAGALPUR,12/3/2003,13-Feb,7537.71,5096.06,1834.34,607.31,2721.47,1263.77,246.34,4231.58,2048.75,881.32,246.34,3176.41
3/15/2013,BIHAR,7,BHOJPUR,17-05-2005,13-Feb,8121.9,5485.61,1977.85,658.44,2841.12,813.95,119.44,3774.51,1932.13,804.63,118.96,2855.72
3/15/2013,BIHAR,8,BUXAR,23-11-2005,13-Feb,4307.11,2913.81,1046.5,346.8,1477.14,450.43,9.48,1937.05,1241.36,354.88,4.42,1600.66
3/15/2013,BIHAR,9,DARBHANGA,12/3/2003,13-Feb,16395.84,11001.64,4048.56,1345.64,5487.27,1360.7,203.94,7051.91,2822.28,988.65,203.94,4014.87
3/15/2013,BIHAR,10,GAYA,22-03-2001,13-Feb,14167.89,9534.99,3480.68,1152.22,4776.54,1373.8,302.51,6452.85,1999.44,973.1,285.42,3257.97
3/15/2013,BIHAR,11,GOPALGANJ,20-02-2006,13-Feb,7334.04,4959.89,1786.32,587.83,2569.84,762.9,8.72,3341.46,1395.03,648.19,8.72,2051.93
3/15/2013,BIHAR,12,JAMUI,15-07-2005,13-Feb,5779.45,3907.68,1409.88,461.89,1951.33,509.11,14.89,2475.33,1282.1,499.23,14.89,1796.22
3/15/2013,BIHAR,13,JEHANABAD,15-07-2005,13-Feb,2847.71,1938.98,694.35,214.38,1012.79,371.98,0,1384.77,687.36,364.3,0,1051.66
3/15/2013,BIHAR,14,KAIMUR(BHABUA),17-05-2005,13-Feb,4138.38,2800.15,998.16,340.07,1467.95,440.67,66.83,1975.45,1007.45,419.82,66.83,1494.09
3/15/2013,BIHAR,15,KATIHAR,18-03-2002,13-Feb,9951.14,6644.42,2357.01,949.71,5224.26,1370.22,629.13,7223.62,3438.86,1255.91,623.18,5317.96
3/15/2013,BIHAR,16,KHAGARIA,20-02-2006,13-Feb,6200.88,4186.01,1489.27,525.6,2210.38,721.8,135.12,3067.3,1336.52,516.41,135.12,1988.05
3/15/2013,BIHAR,17,KISHANGANJ,20-02-2006,13-Feb,4773.98,3210.56,1140.12,423.3,1630.7,587.78,220.83,2439.31,1441.9,490.45,220.83,2153.18
3/15/2013,BIHAR,18,LAKHISARAI,20-02-2006,13-Feb,3873.52,2606.26,951.13,316.13,1390.93,397.39,0,1788.32,1050.2,396.81,0,1447.01
3/15/2013,BIHAR,19,MADHEPURA,20-02-2006,13-Feb,6079.8,4102.27,1464.85,512.68,3181.47,766.88,5.18,3953.52,1680.66,698.25,5.18,2384.08
3/15/2013,BIHAR,20,MADHUBANI,18-03-2002,13-Feb,4307.83,2924.08,1048.58,335.17,1684.73,729.24,135.4,2549.36,1398.03,723.8,135.4,2257.22
3/15/2013,BIHAR,21,MUNGER,20-02-2006,13-Feb,4328.34,2930.99,1056.69,340.66,1438.29,347.84,37.8,1823.93,582.4,282.34,37.8,902.54
3/15/2013,BIHAR,22,MUZAFFARPUR,11/6/2001,13-Feb,12397.69,8249.19,2894.55,1253.95,6703.9,1942.1,112.36,8758.36,5610.24,1748.08,105.77,7464.09
3/15/2013,BIHAR,23,NALANDA,12/3/2003,13-Feb,8291.48,5641.43,2039.39,610.66,2824.11,760.67,265.77,3850.54,1417.02,753.46,139.68,2310.16
3/15/2013,BIHAR,24,NAWADA,20-02-2006,13-Feb,8281.04,5596.7,2015.59,668.75,2855.15,634,8.21,3497.36,1365.32,599.7,8.21,1973.22
3/15/2013,BIHAR,25,PASHCHIM CHAMPARAN,23-11-2005,13-Feb,10631.22,7171.33,2583.53,876.36,3757,914.8,0,4671.8,1959.74,888.72,0,2848.45
3/15/2013,BIHAR,26,PATNA,22-03-2001,13-Feb,11231.64,7578.82,2742.57,910.25,5880.32,1532.46,66.62,7479.4,3468.56,881.81,64.9,4415.27
3/15/2013,BIHAR,27,PURBA CHAMPARAN,22-03-2001,13-Feb,14276.55,9661.14,3481.16,1134.25,4837.09,1139.43,25.88,6002.4,3053.21,1041.19,25.88,4120.28
3/15/2013,BIHAR,28,PURNIA,20-02-2006,13-Feb,7906.83,5346.65,1886.44,673.74,4165.92,1036.47,324.49,5526.88,3064.6,858.94,324.49,4248.03
3/15/2013,BIHAR,29,SAHARSA,20-02-2006,13-Feb,4626.7,3124.67,1100.71,401.32,2433.79,829.22,25.67,3288.69,1654.84,613.31,25.67,2293.83
3/15/2013,BIHAR,30,SAMASTIPUR,12/3/2003,13-Feb,16274.76,10977.32,4018.62,1278.82,5459.92,1283.72,385.76,7129.4,4429.89,1217,385.76,6032.65
3/15/2013,BIHAR,31,SARAN,11/6/2001,13-Feb,9567.69,6509.42,2277.42,780.85,5048.68,1224.61,0.27,6273.56,3013.18,1092.1,0,4105.28
3/15/2013,BIHAR,32,SASARAM(ROHTAS),23-11-2005,13-Feb,8409.6,5626.82,2029.15,753.63,2950,865.79,0,3815.79,1939.86,787.75,0,2727.61
3/15/2013,BIHAR,33,SHEIKHPURA,20-02-2006,13-Feb,2431.4,1655.25,591.63,184.52,1295.09,408.5,0.4,1703.99,713.22,309.59,0.4,1023.21
3/15/2013,BIHAR,34,SHEOHAR,20-02-2006,13-Feb,2628.12,1769.25,636.45,222.42,928.03,260.8,38.9,1227.73,869.51,260.8,28.4,1158.71
3/15/2013,BIHAR,35,SITAMARHI,12/3/2003,13-Feb,14638.66,9882.78,3591.57,1164.31,2359,542.88,0,2901.88,1140.52,467.46,0,1607.98
3/15/2013,BIHAR,36,SIWAN,17-05-2005,13-Feb,10940.13,7369.19,2685.53,885.41,3818.76,986.25,24.57,4829.58,2921.39,795.91,24.57,3741.88
3/15/2013,BIHAR,37,SUPAUL,20-02-2006,13-Feb,7611.1,5138.02,1848.82,624.26,2618.37,598.77,41.08,3258.22,1591.72,524.52,41.08,2157.33
3/15/2013,BIHAR,38,VAISHALI,25-11-1999,13-Feb,7275.82,4841.58,1705.68,728.56,3926,1498.12,138,5562.12,3221.07,1283.88,138,4642.95
3/15/2013,BIHAR,,Total :-,,,293380.8,197840.73,71151.11,24388.96,113128.25,31821.03,4268.86,149218.14,73767.74,27113.81,3998.43,104879.99
3/15/2013,CHHATTISGARH,1,BASTAR(JAGDALPUR),20-02-2006,13-Feb,6309.53,4270.31,1557.1,482.12,2926.06,1557.1,1.6,4484.76,2294.75,1300.15,0,3594.9
