Date,State_Name,SL_No,District_Name,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total
2/18/2013,UTTAR PRADESH,1,AGRA,3015.28,2034.58,3,2,26-09-2012,267.33,114.67,0.05,382.05
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,267.33,114.67,0.05,382.05
2/18/2013,UTTAR PRADESH,2,ALIGARH,3363.52,2259.6,3,4,26-09-2012,79.47,38.12,--,117.59
2/18/2013,UTTAR PRADESH,,,,,4,1,30-12-2012,79.47,38.12,--,117.59
2/18/2013,UTTAR PRADESH,3,ALLAHABAD,4879.3,3058.85,3,3,26-09-2012,90.85,47.11,0.08,138.04
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,90.85,47.11,0.08,138.04
2/18/2013,UTTAR PRADESH,4,AMBEDKAR NAGAR,4474.96,2875.47,3,1,26-09-2012,150.72,85.93,0.01,236.66
2/18/2013,UTTAR PRADESH,,,,,3,2,30-12-2012,150.72,85.93,0.01,236.66
2/18/2013,UTTAR PRADESH,5,AURAIYA,4530.79,2948.87,3,3,26-09-2012,93.97,66.54,0.01,160.52
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,93.97,66.54,0.01,160.52
2/18/2013,UTTAR PRADESH,6,AZAMGARH,5895.58,3811.05,3,3,26-09-2012,156.03,93.9,0.03,249.96
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,156.03,93.9,0.03,249.96
2/18/2013,UTTAR PRADESH,7,BAGPAT,1349.48,899.6,3,3,26-09-2012,37.3,7.24,--,44.54
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,37.3,7.24,--,44.54
2/18/2013,UTTAR PRADESH,8,BAHRAICH,9891.7,6418.32,3,2,26-09-2012,648.01,179.07,1.83,828.91
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,648.01,179.07,1.83,828.91
2/18/2013,UTTAR PRADESH,9,BALLIA,4737.11,2989.07,3,1,26-09-2012,164.41,51.88,0.01,216.3
2/18/2013,UTTAR PRADESH,,,,,3,2,30-12-2012,164.41,51.88,0.01,216.3
2/18/2013,UTTAR PRADESH,10,BALRAMPUR,2443.75,1600.46,3,3,26-09-2012,36.22,9.02,0.31,45.55
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,36.22,9.02,0.31,45.55
2/18/2013,UTTAR PRADESH,11,BANDA,5073.28,3381.73,3,2,26-09-2012,276.35,120.67,0.01,397.03
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,276.35,120.67,0.01,397.03
2/18/2013,UTTAR PRADESH,12,BARABANKI,5582.06,3549.47,3,4,26-09-2012,86.23,58.05,0.01,144.29
2/18/2013,UTTAR PRADESH,,,,,4,1,30-12-2012,86.23,58.05,0.01,144.29
2/18/2013,UTTAR PRADESH,13,BAREILLY,3776.07,2478.06,3,4,26-09-2012,50.78,13.7,--,64.48
2/18/2013,UTTAR PRADESH,,,,,4,1,30-12-2012,50.78,13.7,--,64.48
2/18/2013,UTTAR PRADESH,14,BASTI,5338.11,3361.67,3,1,26-09-2012,204.68,86.4,0.02,291.1
2/18/2013,UTTAR PRADESH,,,,,3,2,30-12-2012,204.68,86.4,0.02,291.1
2/18/2013,UTTAR PRADESH,15,BIJNOR,3785.67,2472.81,3,3,26-09-2012,45.75,25.03,0.04,70.82
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,45.75,25.03,0.04,70.82
2/18/2013,UTTAR PRADESH,16,BUDAUN,2932.13,1794.77,3,1,26-09-2012,13.19,4.56,--,17.75
2/18/2013,UTTAR PRADESH,,,,,3,2,30-12-2012,62.53,28.97,--,91.5
2/18/2013,UTTAR PRADESH,17,BULANDSHAHR,2055.59,1383.67,3,2,26-09-2012,62.53,28.97,--,91.5
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,62.53,28.97,--,91.5
2/18/2013,UTTAR PRADESH,18,CHANDAULI,2007.56,1290.49,4,1,26-09-2012,19.96,10.88,--,30.84
2/18/2013,UTTAR PRADESH,,,,,4,2,30-12-2012,19.96,10.88,--,30.84
2/18/2013,UTTAR PRADESH,19,CHITRAKOOT,1135.11,722.64,3,1,26-09-2012,21.35,13.11,--,34.46
2/18/2013,UTTAR PRADESH,,,,,3,2,30-12-2012,21.3,13.11,--,34.41
2/18/2013,UTTAR PRADESH,20,DEORIA,6481.13,4280.7,3,3,26-09-2012,373.64,134.66,0.06,508.36
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,373.64,134.66,0.06,508.36
2/18/2013,UTTAR PRADESH,21,ETAH,2196.39,1442.27,3,3,26-09-2012,10.76,3.57,--,14.33
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,10.76,3.57,--,14.33
2/18/2013,UTTAR PRADESH,22,ETAWAH,3550.2,2310.58,3,3,26-09-2012,51.91,29.29,--,81.2
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,51.91,29.29,--,81.2
2/18/2013,UTTAR PRADESH,23,FAIZABAD,2800.59,1743.82,3,3,26-09-2012,40.99,21.55,--,62.54
2/18/2013,UTTAR PRADESH,,,,,3,4,30-12-2012,40.99,21.55,--,62.54
2/18/2013,UTTAR PRADESH,24,FARRUKHABAD,4121.39,2650.64,3,1,26-09-2012,37.7,11.99,--,49.69
2/18/2013,UTTAR PRADESH,,,,,3,2,30-12-2012,37.7,11.99,--,49.69
2/18/2013,UTTAR PRADESH,25,FATEHPUR,3596.43,2332.75,3,2,26-09-2012,94.89,55.15,0.02,150.06
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,94.89,55.15,0.02,150.06
2/18/2013,UTTAR PRADESH,26,FIROZABAD,1308.36,884.5,3,2,26-09-2012,29.33,11.22,--,40.55
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,29.33,11.22,--,40.55
2/18/2013,UTTAR PRADESH,27,GAUTAM BUDDHA NAGAR,1090.5,620.74,3,2,26-09-2012,30.34,11.46,0.01,41.81
2/18/2013,UTTAR PRADESH,,,,,3,3,30-12-2012,30.34,11.46,0.01,41.81
