Date,State_Name,SL_No,District_Name,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT
3/15/2013,TAMIL NADU,25,TIRUVANNAMALAI,484068,102849,17462,101674,147204,71599,163591,173273,310795,1835,12,1090,5,30,0
3/15/2013,TAMIL NADU,26,TIRUVARUR,210668,76866,618,52246,41677,79618,37127,131864,78804,714,33,513,25,0,0
3/15/2013,TAMIL NADU,27,VELLORE,513883,133795,16312,53861,155289,25302,279431,79163,434720,465,2943,25,1439,2,0
3/15/2013,TAMIL NADU,28,VILLUPURAM,621893,185010,19342,133405,326185,36933,125370,170338,451555,1832,445,1526,724,103,1
3/15/2013,TAMIL NADU,29,VIRUDHUNAGAR,297026,94002,101,86610,37122,109493,63801,196103,100923,998,90,596,90,26,56
3/15/2013,TAMIL NADU,,"Total 
                        :-",9227437,2114882,150416,1781540,3181139,1829689,2435069,3611229,5616208,17202,19305,11406,12916,3591,261
3/15/2013,TRIPURA,1,DHALAI,81660,15452,47754,52232,988,21804,6636,74036,7624,481,165,325,644,0,0
3/15/2013,TRIPURA,2,NORTH TRIPURA,81457,19596,29128,64360,2599,14488,10,78848,2609,664,400,523,632,79,55
3/15/2013,TRIPURA,3,SOUTH TRIPURA,197094,31838,76067,112566,27519,45445,11564,158011,39083,779,58,1656,200,49,0
3/15/2013,TRIPURA,4,WEST TRIPURA,257208,45192,74098,52884,116788,68758,18778,121642,135566,251,872,186,1343,4,0
3/15/2013,TRIPURA,,"Total 
                        :-",617419,112078,227047,282042,147894,150495,36988,432537,184882,2175,1495,2690,2819,132,55
3/15/2013,UTTAR PRADESH,1,AGRA,330498,83118,171,34671,48345,37577,209905,72248,258250,469,624,286,845,2,2
3/15/2013,UTTAR PRADESH,2,ALIGARH,333729,88583,0,35809,73936,31855,192129,67664,266065,851,995,408,920,0,0
3/15/2013,UTTAR PRADESH,3,ALLAHABAD,657927,159913,172,28897,181311,7159,440560,36056,621871,82,2644,99,2219,3,20
3/15/2013,UTTAR PRADESH,4,AMBEDKAR NAGAR,278288,86227,5,9434,132725,9092,127037,18526,259762,121,1334,23,1350,2,18
