Date,State_Name,SL_No,District_Name,Date_of_Sanction,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC
3/15/2013,ASSAM,2,BARPETA,17-05-2005,6162.6,4361.74,1348.62,452.24,150747,93069,243816,0,1806,175,10
3/15/2013,ASSAM,3,BONGAIGAON,31-07-2006,2773.12,1950.68,635.65,186.79,51929,39654,91583,15,1222,59,3
3/15/2013,ASSAM,4,CACHAR,18-09-2001,4741.34,3346.64,1045.87,348.83,119931,46293,166224,0,1839,1697,0
3/15/2013,ASSAM,5,CHIRANG,15-01-2008,1522.06,1074.34,340.85,106.87,29956,20899,50855,10,778,38,2
3/15/2013,ASSAM,6,DARRANG,21-06-2007,3824.75,2681.62,848.25,294.88,86628,25633,112261,25,673,539,5
3/15/2013,ASSAM,7,DHEMAJI,17-05-2005,3228.33,2284.89,697.63,245.81,80854,18546,99400,10,871,230,5
3/15/2013,ASSAM,8,DHUBRI,18-09-2001,8964.87,6264.78,1985.57,714.52,205324,42052,247376,50,1016,1902,2
3/15/2013,ASSAM,9,DIBRUGARH,14-01-2004,3021.96,2136.12,653.02,232.82,77606,45384,122990,0,969,900,4
3/15/2013,ASSAM,10,GOALPARA,18-09-2001,2837.73,2002.27,645.89,189.57,65070,21747,86817,0,1840,951,3
3/15/2013,ASSAM,11,GOLAGHAT,17-05-2005,3133.34,2179.53,676.25,277.56,79743,27031,106774,0,1248,119,6
3/15/2013,ASSAM,12,HAILAKANDI,14-01-2004,1737.93,1215.24,379.49,143.2,49837,12445,62282,0,1140,35,4
3/15/2013,ASSAM,13,JORHAT,7/2/2000,3071.84,2172.7,709.72,189.42,65070,21747,86817,0,1840,951,6
3/15/2013,ASSAM,14,KAMRUP,7/2/2000,3018.34,2129.06,644.75,244.53,85785,52723,138508,0,521,1531,0
3/15/2013,ASSAM,15,KARBI ANGLONG,18-09-2001,3832.82,2713.59,935.24,183.99,60953,19293,80246,0,3304,1406,4
3/15/2013,ASSAM,16,KARIMGANJ,18-09-2001,2672.51,1865.25,586.72,220.54,78992,15409,94401,14,1051,912,3
3/15/2013,ASSAM,17,KOKRAJHAR,11/3/2005,2979.14,2075.89,638.56,264.69,84830,35087,119917,0,1157,146,3
3/15/2013,ASSAM,18,LAKHIMPUR,14-01-2004,3024.58,2138.81,646.27,239.5,73224,22938,96162,0,1432,276,4
3/15/2013,ASSAM,19,MARIGAON,18-09-2001,1802.88,1249.95,375.72,177.21,60770,105564,166334,0,326,797,3
3/15/2013,ASSAM,20,NAGAON,15-07-2005,7161.99,5052.42,1594.4,515.17,168391,60850,229241,0,2468,621,10
3/15/2013,ASSAM,21,NALBARI,18-09-2001,3139.74,2195.41,676.86,267.47,88093,127387,215480,0,282,710,5
3/15/2013,ASSAM,22,NORTH CACHAR HILLS,31-07-2006,1293,913.76,305.08,74.16,21328,1102,22430,0,810,194,5
3/15/2013,ASSAM,23,SIBSAGAR,18-03-2002,3209.83,2259.72,729.12,220.99,74686,52367,127053,0,2135,935,4
3/15/2013,ASSAM,24,SONITPUR,7/2/2000,4851,3387.94,1094.71,368.35,120048,93032,213080,42,1951,607,6
3/15/2013,ASSAM,25,TINSUKIA,17-05-2005,2840.31,1984.83,619.16,236.32,68774,29814,98588,0,870,623,8
3/15/2013,ASSAM,26,UDALGURI,15-01-2008,4038.66,2841.7,903.71,293.25,85751,67169,152920,30,1434,396,7
3/15/2013,ASSAM,,Total,,92814.8,65248.07,20582.96,6983.77,2220017,1161020,3381037,211,34772,16819,115
3/15/2013,BIHAR,1,ARARIA,12/3/2003,4630.29,3129.75,1116.55,383.99,100000,74194,174194,50,1594,42,10
3/15/2013,BIHAR,2,ARWAL,20-02-2006,2565.43,1738.33,620.08,207.02,50500,43853,94353,50,848,53,5
3/15/2013,BIHAR,3,AURANGABAD,23-11-2005,7219.24,4914.68,1790.05,514.51,123115,90829,213944,50,3060,463,10
3/15/2013,BIHAR,4,BANKA,22-03-2001,4127.69,2814.26,1004.28,309.15,82439,0,82439,75,2764,386,10
3/15/2013,BIHAR,5,BEGUSARAI,18-03-2002,7272.2,4860.75,1707.05,704.4,192877,192877,385754,333,2156,724,10
3/15/2013,BIHAR,6,BHAGALPUR,12/3/2003,7537.71,5096.06,1834.34,607.31,154950,187409,342359,50,2602,1331,10
3/15/2013,BIHAR,7,BHOJPUR,17-05-2005,8121.9,5485.61,1977.85,658.44,164410,131472,295882,50,3350,319,10
