Date,State_Name,District_Name,Rural_Households,Census_2001_IHHL
06-03-13,HIMACHAL PRADESH,MANDI,204051,46112
06-03-13,HIMACHAL PRADESH,SHIMLA,130864,27624
06-03-13,HIMACHAL PRADESH,SIRMAUR,84317,16831
06-03-13,HIMACHAL PRADESH,SOLAN,97237,26150
06-03-13,HIMACHAL PRADESH,UNA,99791,23077
06-03-13,JAMMU & KASHMIR,ANANTNAG,109465,63834
06-03-13,JAMMU & KASHMIR,BANDIPORA,47620,15488
06-03-13,JAMMU & KASHMIR,BARAMULLA,119791,91281
06-03-13,JAMMU & KASHMIR,BUDGAM,86083,55364
06-03-13,JAMMU & KASHMIR,DODA,72580,14150
06-03-13,JAMMU & KASHMIR,JAMMU,155851,43876
06-03-13,JAMMU & KASHMIR,KARGIL,15442,14156
06-03-13,JAMMU & KASHMIR,KATHUA,100283,13439
06-03-13,JAMMU & KASHMIR,KISHTWAR,41968,4699
06-03-13,JAMMU & KASHMIR,KULGAM,56316,25068
06-03-13,JAMMU & KASHMIR,KUPWARA,96737,40894
06-03-13,JAMMU & KASHMIR,LEH (LADAKH),14590,14757
06-03-13,JAMMU & KASHMIR,POONCH,81670,14037
06-03-13,JAMMU & KASHMIR,PULWAMA,71063,50861
06-03-13,JAMMU & KASHMIR,RAJAURI,117183,12543
06-03-13,JAMMU & KASHMIR,RAMBAN,52261,1027
06-03-13,JAMMU & KASHMIR,REASI,49914,1907
06-03-13,JAMMU & KASHMIR,SAMBA,53197,6948
06-03-13,JAMMU & KASHMIR,SHOPIAN,39486,16770
06-03-13,JAMMU & KASHMIR,SRINAGAR,2690,31921
06-03-13,JAMMU & KASHMIR,UDHAMPUR,77104,24321
06-03-13,JHARKHAND,BOKARO,204021,12820
06-03-13,JHARKHAND,CHATRA,170239,7071
06-03-13,JHARKHAND,DEOGHAR,214896,7150
06-03-13,JHARKHAND,DHANBAD,207157,38746
06-03-13,JHARKHAND,DUMKA,255926,12928
06-03-13,JHARKHAND,GARHWA,241497,5351
06-03-13,JHARKHAND,GIRIDIH,356247,14667
06-03-13,JHARKHAND,GODDA,239500,12393
06-03-13,JHARKHAND,GUMLA,176770,8770
06-03-13,JHARKHAND,HAZARIBAGH,252871,25506
06-03-13,JHARKHAND,JAMTARA,135540,1412
06-03-13,JHARKHAND,KHUNTI,93762,291
06-03-13,JHARKHAND,KODERMA,90207,4691
06-03-13,JHARKHAND,LATEHAR,122902,639
06-03-13,JHARKHAND,LOHARDAGA,80295,3358
06-03-13,JHARKHAND,PAKUR,167362,4551
06-03-13,JHARKHAND,PALAMU,316135,24841
06-03-13,JHARKHAND,PASCHIM SINGHBHUM,256019,16862
06-03-13,JHARKHAND,PURBI SINGHBHUM,215676,13722
06-03-13,JHARKHAND,RAMGARH,97889,2050
06-03-13,JHARKHAND,RANCHI,322679,25624
06-03-13,JHARKHAND,SAHIBGANJ,193809,10741
06-03-13,JHARKHAND,SERAIKELA KHARSAWAN,165883,476
06-03-13,JHARKHAND,SIMDEGA,108683,304
06-03-13,KARNATAKA,BAGALKOT,238746,11221
06-03-13,KARNATAKA,BANGALORE RURAL,162398,62585
06-03-13,KARNATAKA,BANGALORE URBAN,207628,67179
06-03-13,KARNATAKA,BELGAUM,708069,58517
06-03-13,KARNATAKA,BELLARY,291383,29647
06-03-13,KARNATAKA,BIDAR,237380,16052
06-03-13,KARNATAKA,BIJAPUR,307984,8475
06-03-13,KARNATAKA,CHAMARAJANAGAR,203748,19864
06-03-13,KARNATAKA,CHICKMAGALUR,215334,63281
06-03-13,KARNATAKA,CHIKBALLAPUR,220309,36018
06-03-13,KARNATAKA,CHITRADURGA,282019,26802
06-03-13,KARNATAKA,DAVANGERE,272929,43665
06-03-13,KARNATAKA,DHARWAD,157960,20129
06-03-13,KARNATAKA,GADAG,137799,8320
06-03-13,KARNATAKA,GULBARGA,311531,20715
06-03-13,KARNATAKA,HASSAN,339911,49434
06-03-13,KARNATAKA,HAVERI,254181,36011
06-03-13,KARNATAKA,KODAGU,118509,52098
06-03-13,KARNATAKA,KOLAR,226245,74617
06-03-13,KARNATAKA,KOPPAL,213217,14899
06-03-13,KARNATAKA,MANDYA,354049,50600
06-03-13,KARNATAKA,MANGALORE(DAKSHINA KANNADA),220806,100025
06-03-13,KARNATAKA,MYSORE,401655,55936
06-03-13,KARNATAKA,RAICHUR,264274,13601
06-03-13,KARNATAKA,RAMANAGARA,200171,5940
06-03-13,KARNATAKA,SHIMOGA,257060,70516
06-03-13,KARNATAKA,TUMKUR,495885,61094
06-03-13,KARNATAKA,UDUPI,174548,83473
06-03-13,KARNATAKA,UTTAR KANNADA,226803,42503
06-03-13,KERALA,ALAPPUZHA,245849,264125
06-03-13,KERALA,ERNAKULAM,256310,318683
06-03-13,KERALA,IDUKKI,264649,191015
06-03-13,KERALA,KANNUR,198846,191313
06-03-13,KERALA,KASARGOD,165969,113931
06-03-13,KERALA,KOLLAM,373677,394062
06-03-13,KERALA,KOTTAYAM,342707,305677
06-03-13,KERALA,KOZHIKODE,232228,324608
06-03-13,KERALA,MALAPPURAM,437511,469088
06-03-13,KERALA,PALAKKAD,476318,297734
06-03-13,KERALA,PATHANAMTHITTA,285389,213696
06-03-13,KERALA,THIRUVANANTHAPURAM,390607,398992
06-03-13,KERALA,THRISSUR,246928,402779
06-03-13,KERALA,WAYANAD,178686,134318
06-03-13,MADHYA PRADESH,ALIRAJPUR,121337,3476
06-03-13,MADHYA PRADESH,ANUPPUR,126225,1828
06-03-13,MADHYA PRADESH,ASHOKNAGAR,141801,2048
06-03-13,MADHYA PRADESH,BALAGHAT,341221,21242
06-03-13,MADHYA PRADESH,BARWANI,205589,9033
06-03-13,MADHYA PRADESH,BETUL,260878,20474
06-03-13,MADHYA PRADESH,BHIND,227645,17634
06-03-13,MADHYA PRADESH,BHOPAL,91084,9330
06-03-13,MADHYA PRADESH,BURHANPUR,96440,7068
06-03-13,MADHYA PRADESH,CHHATARPUR,299608,12121
06-03-13,MADHYA PRADESH,CHHINDWARA,330846,23137
06-03-13,MADHYA PRADESH,DAMOH,250346,11062
06-03-13,MADHYA PRADESH,DATIA,126467,9258
06-03-13,MADHYA PRADESH,DEWAS,220809,20227
06-03-13,MADHYA PRADESH,DHAR,339844,34219
06-03-13,MADHYA PRADESH,DINDORI,161808,4730
06-03-13,MADHYA PRADESH,GUNA,183767,13916
06-03-13,MADHYA PRADESH,GWALIOR,144130,13624
06-03-13,MADHYA PRADESH,HARDA,88422,12947
06-03-13,MADHYA PRADESH,HOSHANGABAD,174226,28012
06-03-13,MADHYA PRADESH,INDORE,153259,30665
06-03-13,MADHYA PRADESH,JABALPUR,236023,27123
06-03-13,MADHYA PRADESH,JHABUA,190362,13790
06-03-13,MADHYA PRADESH,KATNI,234239,12157
06-03-13,MADHYA PRADESH,KHANDWA(EAST NIMAR),216711,24007
06-03-13,MADHYA PRADESH,KHARGONE,309603,4496
06-03-13,MADHYA PRADESH,MANDLA,220889,10002
06-03-13,MADHYA PRADESH,MANDSAUR,229006,16744
06-03-13,MADHYA PRADESH,MORENA,286015,13468
06-03-13,MADHYA PRADESH,NARSINGHPUR,204994,32783
06-03-13,MADHYA PRADESH,NEEMUCH,129968,8478
06-03-13,MADHYA PRADESH,PANNA,209035,8454
06-03-13,MADHYA PRADESH,RAISEN,214616,26762
06-03-13,MADHYA PRADESH,RAJGARH,289795,13717
06-03-13,MADHYA PRADESH,RATLAM,211063,14035
06-03-13,MADHYA PRADESH,REWA,467403,13878
06-03-13,MADHYA PRADESH,SAGAR,376804,20136
06-03-13,MADHYA PRADESH,SATNA,390426,13941
06-03-13,MADHYA PRADESH,SEHORE,206935,24996
06-03-13,MADHYA PRADESH,SEONI,277982,18654
06-03-13,MADHYA PRADESH,SHAHDOL,204690,9879
06-03-13,MADHYA PRADESH,SHAJAPUR,243638,16149
06-03-13,MADHYA PRADESH,SHEOPUR,124647,4068
06-03-13,MADHYA PRADESH,SHIVPURI,303041,13904
06-03-13,MADHYA PRADESH,SIDHI,220630,6990
06-03-13,MADHYA PRADESH,SINGRAULI,193734,637
06-03-13,MADHYA PRADESH,TIKAMGARH,253752,8958
06-03-13,MADHYA PRADESH,UJJAIN,237288,19604
06-03-13,MADHYA PRADESH,UMARIA,121448,7356
06-03-13,MADHYA PRADESH,VIDISHA,231876,14105
06-03-13,MAHARASHTRA,AHMEDNAGAR,717718,81766
06-03-13,MAHARASHTRA,AKOLA,247752,49088
06-03-13,MAHARASHTRA,AMRAVATI,424563,112012
06-03-13,MAHARASHTRA,AURANGABAD,419120,46060
06-03-13,MAHARASHTRA,BEED,446114,31290
06-03-13,MAHARASHTRA,BHANDARA,223299,58799
06-03-13,MAHARASHTRA,BULDHANA,445247,59604
06-03-13,MAHARASHTRA,CHANDRAPUR,352643,63537
06-03-13,MAHARASHTRA,DHULE,298915,31963
06-03-13,MAHARASHTRA,GADCHIROLI,218935,30696
